3com_name,SMILES,Molecular Weight_3com,Unit weight_3com,N of repeat units_3com,Mp/Tg_3com,MaxAbsEStateIndex_3com,MaxEStateIndex_3com,MinAbsEStateIndex_3com,MinEStateIndex_3com,qed_3com,SPS_3com,MolWt_3com,HeavyAtomMolWt_3com,ExactMolWt_3com,NumValenceElectrons_3com,NumRadicalElectrons_3com,MaxPartialCharge_3com,MinPartialCharge_3com,MaxAbsPartialCharge_3com,MinAbsPartialCharge_3com,FpDensityMorgan1_3com,FpDensityMorgan2_3com,FpDensityMorgan3_3com,BCUT2D_MWHI_3com,BCUT2D_MWLOW_3com,BCUT2D_CHGHI_3com,BCUT2D_CHGLO_3com,BCUT2D_LOGPHI_3com,BCUT2D_LOGPLOW_3com,BCUT2D_MRHI_3com,BCUT2D_MRLOW_3com,AvgIpc_3com,BalabanJ_3com,BertzCT_3com,Chi0_3com,Chi0n_3com,Chi0v_3com,Chi1_3com,Chi1n_3com,Chi1v_3com,Chi2n_3com,Chi2v_3com,Chi3n_3com,Chi3v_3com,Chi4n_3com,Chi4v_3com,HallKierAlpha_3com,Kappa1_3com,Kappa2_3com,Kappa3_3com,LabuteASA_3com,PEOE_VSA1_3com,PEOE_VSA10_3com,PEOE_VSA11_3com,PEOE_VSA12_3com,PEOE_VSA13_3com,PEOE_VSA14_3com,PEOE_VSA2_3com,PEOE_VSA3_3com,PEOE_VSA4_3com,PEOE_VSA5_3com,PEOE_VSA6_3com,PEOE_VSA7_3com,PEOE_VSA8_3com,PEOE_VSA9_3com,SMR_VSA1_3com,SMR_VSA10_3com,SMR_VSA2_3com,SMR_VSA3_3com,SMR_VSA4_3com,SMR_VSA5_3com,SMR_VSA6_3com,SMR_VSA7_3com,SMR_VSA8_3com,SMR_VSA9_3com,SlogP_VSA1_3com,SlogP_VSA10_3com,SlogP_VSA11_3com,SlogP_VSA12_3com,SlogP_VSA2_3com,SlogP_VSA3_3com,SlogP_VSA4_3com,SlogP_VSA5_3com,SlogP_VSA6_3com,SlogP_VSA7_3com,SlogP_VSA8_3com,SlogP_VSA9_3com,TPSA_3com,EState_VSA1_3com,EState_VSA10_3com,EState_VSA11_3com,EState_VSA2_3com,EState_VSA3_3com,EState_VSA4_3com,EState_VSA5_3com,EState_VSA6_3com,EState_VSA7_3com,EState_VSA8_3com,EState_VSA9_3com,VSA_EState1_3com,VSA_EState10_3com,VSA_EState2_3com,VSA_EState3_3com,VSA_EState4_3com,VSA_EState5_3com,VSA_EState6_3com,VSA_EState7_3com,VSA_EState8_3com,VSA_EState9_3com,FractionCSP3_3com,HeavyAtomCount_3com,NHOHCount_3com,NOCount_3com,NumAliphaticCarbocycles_3com,NumAliphaticHeterocycles_3com,NumAliphaticRings_3com,NumAmideBonds_3com,NumAromaticCarbocycles_3com,NumAromaticHeterocycles_3com,NumAromaticRings_3com,NumAtomStereoCenters_3com,NumBridgeheadAtoms_3com,NumHAcceptors_3com,NumHDonors_3com,NumHeteroatoms_3com,NumHeterocycles_3com,NumRotatableBonds_3com,NumSaturatedCarbocycles_3com,NumSaturatedHeterocycles_3com,NumSaturatedRings_3com,NumSpiroAtoms_3com,NumUnspecifiedAtomStereoCenters_3com,Phi_3com,RingCount_3com,MolLogP_3com,MolMR_3com,fr_Al_COO_3com,fr_Al_OH_3com,fr_Al_OH_noTert_3com,fr_ArN_3com,fr_Ar_COO_3com,fr_Ar_N_3com,fr_Ar_NH_3com,fr_Ar_OH_3com,fr_COO_3com,fr_COO2_3com,fr_C_O_3com,fr_C_O_noCOO_3com,fr_C_S_3com,fr_HOCCN_3com,fr_Imine_3com,fr_NH0_3com,fr_NH1_3com,fr_NH2_3com,fr_N_O_3com,fr_Ndealkylation1_3com,fr_Ndealkylation2_3com,fr_Nhpyrrole_3com,fr_SH_3com,fr_aldehyde_3com,fr_alkyl_carbamate_3com,fr_alkyl_halide_3com,fr_allylic_oxid_3com,fr_amide_3com,fr_amidine_3com,fr_aniline_3com,fr_aryl_methyl_3com,fr_azide_3com,fr_azo_3com,fr_barbitur_3com,fr_benzene_3com,fr_benzodiazepine_3com,fr_bicyclic_3com,fr_diazo_3com,fr_dihydropyridine_3com,fr_epoxide_3com,fr_ester_3com,fr_ether_3com,fr_furan_3com,fr_guanido_3com,fr_halogen_3com,fr_hdrzine_3com,fr_hdrzone_3com,fr_imidazole_3com,fr_imide_3com,fr_isocyan_3com,fr_isothiocyan_3com,fr_ketone_3com,fr_ketone_Topliss_3com,fr_lactam_3com,fr_lactone_3com,fr_methoxy_3com,fr_morpholine_3com,fr_nitrile_3com,fr_nitro_3com,fr_nitro_arom_3com,fr_nitro_arom_nonortho_3com,fr_nitroso_3com,fr_oxazole_3com,fr_oxime_3com,fr_para_hydroxylation_3com,fr_phenol_3com,fr_phenol_noOrthoHbond_3com,fr_phos_acid_3com,fr_phos_ester_3com,fr_piperdine_3com,fr_piperzine_3com,fr_priamide_3com,fr_prisulfonamd_3com,fr_pyridine_3com,fr_quatN_3com,fr_sulfide_3com,fr_sulfonamd_3com,fr_sulfone_3com,fr_term_acetylene_3com,fr_tetrazole_3com,fr_thiazole_3com,fr_thiocyan_3com,fr_thiophene_3com,fr_unbrch_alkane_3com,fr_urea_3com
P407 ,OCCOCCOCC(OCCOCCO[H])C,12000,252.31,48,56,8.466317512,8.466317512,0.005155869,0.005155869,0.427307326,12.88235294,252.307,228.115,252.1572885,104,0,0.078112621,-0.393980325,0.393980325,0.078112621,0.764705882,1.294117647,1.882352941,16.5603371,10.42222093,2.014019477,-2.130679096,1.921468375,-2.201750431,4.468221302,-0.043372178,2.33174494,3.089990816,143.9233455,12.76973842,10.46873165,10.46873165,8.308060412,5.874482294,5.874482294,3.428281453,3.428281453,1.825856795,1.825856795,1.05670678,1.05670678,-0.24,16.76,13.82345178,13.69683948,102.4313206,29.1605066,0,0,0,0,0,0,0,0,0,0,6.9237372,0,65.56590407,29.1605066,0,0,0,0,13.02770359,59.46193768,0,0,0,0,0,0,0,75.77895886,18.94745182,0,6.9237372,0,0,0,0,77.38,0,0,0,19.31773032,46.24817375,0,0,0,6.9237372,0,29.1605066,20.78576262,0,0,16.92270575,0,0,0,0.005155869,5.119709092,0,1,17,2,6,0,0,0,0,0,0,0,1,0,6,2,6,0,13,0,0,0,0,1,13.62829716,0,-0.5741,62.0426,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEG 6000,C(CO)O,6000,62.068,96.67,59,7.625,7.625,0.125,-0.125,0.407527891,7.5,62.068,56.02,62.03677943,26,0,0.06622664,-0.393990542,0.393990542,0.06622664,1,1.25,1.25,16.30425825,10.81832367,1.575298676,-1.699066797,1.392607251,-1.84530091,4.062481069,0.185938562,1.370950594,1.974744871,6,3.414213562,2.308640753,2.308640753,1.914213562,1.132455532,1.132455532,0.447213595,0.447213595,0.1,0.1,0,0,-0.08,3.92,2.92,1.92,24.69266065,10.21305479,0,0,0,0,0,0,0,0,0,0,0,0,13.21376393,10.21305479,0,0,0,0,0,13.21376393,0,0,0,0,0,0,0,23.42681872,0,0,0,0,0,0,0,40.46,0,0,0,13.21376393,0,0,0,0,0,0,10.21305479,0,0,0,15.25,0,0,0,0,-0.25,0,1,4,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,2.8616,0,-1.029,14.1716,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soluplus,O=C1N(C(CC(N2CCCCCC2=O)CC(N3CCCCCC3=O)CC(C)N4CCCCCC4=O)CC(CC(CC(OCCOCCO)COCCO)OC(C)=O)OC(C)=O)CCCCC1,118000,937.23,126,70,14.23961392,14.23961392,0.00186207,-0.80801985,0.080901491,21.46969697,937.226,852.554,936.6034887,378,0,0.302403316,-0.462332233,0.462332233,0.302403316,0.46969697,0.863636364,1.333333333,16.5689664,9.888116957,2.39088712,-2.428151669,2.319453984,-2.525233033,5.785271702,-0.156117715,3.809676377,1.725761944,1486.377448,47.68501226,40.54998843,40.54998843,31.8914882,25.40685657,25.40685657,18.90606027,18.90606027,13.60389783,13.60389783,10.48793924,10.48793924,-3.38,55.21842298,30.88894754,19.68658762,393.3978088,53.49700848,12.20793278,0,23.62871892,0,11.93861058,28.7672231,0,0,0,25.68328649,77.55277505,109.1396147,52.35214014,62.66459266,35.56732949,0,19.59963892,0,204.5085498,72.42719938,0,0,0,0,0,0,0,180.2864851,52.45153787,0,162.0292873,0,0,0,0,201.99,36.29235057,33.8737505,0,107.26488,71.12477698,77.04985948,13.8474744,0,19.59963892,6.9237372,28.79084216,29.06317815,0,89.38975982,18.52091362,0,-0.766728568,-1.240192794,11.93350719,7.43289591,0,0.87755102,66,2,17,0,4,4,4,0,0,0,7,0,13,2,17,4,28,0,4,4,0,7,25.8430147,4,4.6981,245.9096,0,2,2,0,0,0,0,0,0,0,6,6,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDS,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],288.38,288.38,1,205.5,10.11381045,10.11381045,0,-4.484381926,0.225415324,11.22222222,288.385,263.185,288.1371246,104,0,1,-0.725519272,1,0.725519272,0.833333333,1.222222222,1.611111111,,,,,,,,,2.242518555,0,254.8030251,12.98528137,11.81941605,14.63591263,8.060660172,6.662448582,7.995781916,4.412204081,5.464402923,2.725561859,3.18090366,1.750486577,2.072461853,0.87,21.1734116,14.28271984,19.21529247,134.118199,4.552749874,0,0,10.39900058,0,29.55728603,4.183085433,8.417796984,0,0,64.71113181,6.420821623,0,6.606881965,46.71091832,10.39900058,0,0,0,71.13195343,6.606881965,0,0,0,29.55728603,0,0,0,19.57742882,14.58208601,0,71.13195343,0,0,0,0,66.43,10.39900058,12.97054686,0,36.164168,6.420821623,12.84164325,44.94575136,0,0,11.10682263,0,34.45942703,0,0,0,0,0,0,11.69905585,2.242565716,-4.484381926,1,18,0,4,0,0,0,0,0,0,0,0,0,4,0,6,0,12,0,0,0,0,0,16.80077255,0,0.3881,67.4932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
HPMC E5,O[C@@H]1[C@@H](OC)[C@H](O[C@@H]2[C@H](O[C@@H](O[C@@H]3[C@@H](COC)OC([H])[C@@H]([C@H]3O)OC)[C@H](OC)[C@H]2O)COC)O[C@@H]([C@H]1O[C@H]4[C@H](OC)[C@@H](O)[C@H](O[H])[C@H](O4)COC)COCC(O)C,22000,806.85,27.26653033,175,11.81012813,11.81012813,0.083477036,-1.522275551,0.068362457,44.72727273,806.849,744.353,806.378359,324,0,0.186995304,-0.391019003,0.391019003,0.186995304,0.490909091,0.909090909,1.363636364,16.77469139,9.95116606,2.555651382,-2.49899168,2.356491981,-2.675041049,4.984256863,-0.388090575,3.14864419,1.576715011,1071.818082,40.39624779,32.596652,32.596652,26.38091003,18.17276062,18.17276062,13.88322951,13.88322951,10.06369658,10.06369658,7.192061898,7.192061898,-0.84,46.84509888,22.50840499,11.26027424,320.2275971,101.6921087,97.6634622,18.87008019,0,0,0,0,0,0,0,0,6.9237372,49.76858279,45.74525817,101.6921087,0,0,0,0,129.561246,89.40987458,0,0,0,0,0,0,0,242.6865477,71.05294431,0,6.9237372,0,0,0,0,259.83,122.6375088,30.63916437,0,39.64129179,0,0,56.69231999,0,0,0,71.05294431,86.87992923,0,0,66.00566597,0,0,0,-23.57243422,1.173571586,9.679934091,1,55,6,21,0,4,4,0,0,0,0,20,0,21,6,21,4,20,0,4,4,0,1,19.17106286,4,-4.0834,181.6918,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eudragit EPO,[H]C(C)(C(OCCN(C)C)=O)CC(C(OCCCC)=O)(C)CC(C)(C(OCCN(C)C)=O)CC(C)(C[H])C(OC)=O,47000,558.76,84,45,13.5793784,13.5793784,0.015375016,-1.252900206,0.132508573,15.71794872,558.757,504.325,558.3880167,228,0,0.311404757,-0.468602342,0.468602342,0.311404757,0.717948718,1.205128205,1.692307692,16.54523782,9.636144471,2.507934266,-2.401460105,2.46591823,-2.453494828,5.82947623,-0.169149396,2.816772226,6.251548008,798.1570534,30.44094682,26.3088316,26.3088316,17.93522971,13.8277242,13.8277242,12.35495148,12.35495148,6.780621769,6.780621769,4.828287775,4.828287775,-2.2,36.8,16.800186,13.13554297,235.5775669,28.74727128,13.21376393,0,0,0,23.87722115,19.17814874,0,0,0,20.26829602,81.56892322,13.08951281,35.87955696,38.12560055,23.87722115,0,9.799819462,22.16287745,73.64653131,68.21064418,0,0,0,0,0,0,0,101.8876848,38.12560055,22.16287745,73.64653131,0,0,0,0,111.68,46.04009861,19.17814874,0,39.08311076,19.51033443,6.420821623,7.109797541,34.618686,44.91424459,0,18.94745182,21.69885297,0,56.29122905,0,-3.513750844,-2.532232954,0,1.747458168,12.24789031,8.810553301,0.862068966,39,0,10,0,0,0,0,0,0,0,3,0,10,0,10,0,19,0,0,0,0,3,15.8524832,0,3.5575,149.919,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PVP K12,C=CN1CCCC1=O,2500,111.14,22,102,10.66,10.66,0.208333333,0.208333333,0.488692043,19.5,111.144,102.072,111.0684139,44,0,0.226055117,-0.319671229,0.319671229,0.226055117,1.75,2.5,2.75,16.15325108,10.38004459,2.154559935,-2.048432761,2.075511437,-2.158559169,5.784446402,-0.124969213,2.139472527,2.536681979,119.6969429,5.983127663,4.76123928,4.76123928,3.842535255,2.76395928,2.76395928,1.873260431,1.873260431,1.330390273,1.330390273,0.862038468,0.862038468,-0.79,5.348696255,1.987228406,0.734836449,48.78988318,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,6.578935684,12.62077651,12.96557803,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,6.544756406,12.77889057,0,0,0,0,0,0,17.35184587,4.794537184,0,12.84164325,12.77889057,0,0,0,20.31,0,4.794537184,0,5.907179729,6.420821623,12.96557803,0,11.09986462,0,6.578935684,0,0,0,12.31277778,0,0,0.208333333,0,3.283935185,4.36162037,0,0.5,8,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.328635141,1,0.7523,31.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP K30,C=CN1CCCC1=O,60000,111.14,540,163,10.66,10.66,0.208333333,0.208333333,0.488692043,19.5,111.144,102.072,111.0684139,44,0,0.226055117,-0.319671229,0.319671229,0.226055117,1.75,2.5,2.75,16.15325108,10.38004459,2.154559935,-2.048432761,2.075511437,-2.158559169,5.784446402,-0.124969213,2.139472527,2.536681979,119.6969429,5.983127663,4.76123928,4.76123928,3.842535255,2.76395928,2.76395928,1.873260431,1.873260431,1.330390273,1.330390273,0.862038468,0.862038468,-0.79,5.348696255,1.987228406,0.734836449,48.78988318,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,6.578935684,12.62077651,12.96557803,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,6.544756406,12.77889057,0,0,0,0,0,0,17.35184587,4.794537184,0,12.84164325,12.77889057,0,0,0,20.31,0,4.794537184,0,5.907179729,6.420821623,12.96557803,0,11.09986462,0,6.578935684,0,0,0,12.31277778,0,0,0.208333333,0,3.283935185,4.36162037,0,0.5,8,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.328635141,1,0.7523,31.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP VA64,O=C1CCCN1C([H])CC(CC(N2C(CCC2)=O)CC(N3C(CCC3)=O)CC(N4C(CCC4)=O)CC(N5C(CCC5)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)[H])N6C(CCC6)=O,57500,1085.3,53,106,14.01328809,14.01328809,0.007241923,-1.023293127,0.070784972,21.57142857,1085.303,1000.631,1084.594381,430,0,0.302404013,-0.465728013,0.465728013,0.302404013,0.350649351,0.649350649,0.974025974,16.57262929,9.877673342,2.431136615,-2.420247448,2.349173033,-2.515698798,5.81236855,-0.15901027,4.231293793,1.309567682,2140.486776,55.75984434,46.12461008,46.12461008,36.73420259,28.31348967,28.31348967,21.93566543,21.93566543,16.02210211,16.02210211,12.83932282,12.83932282,-5.83,60.39931423,29.23079091,18.3876092,452.3146096,53.08377315,24.41586555,0,35.44307838,0,29.84652644,52.73990902,0,0,0,0,70.62903785,181.2702228,6.606881965,76.42422379,65.28960482,0,29.39945839,0,230.5018314,52.42017681,0,0,0,0,0,0,0,201.7343097,76.42422379,0,175.8767617,0,0,0,0,253.36,72.38791448,52.73990902,0,99.07939336,129.2839759,12.84164325,34.618686,4.899909731,24.49954865,0,23.68431477,28.13739686,0,155.1053821,0,0,-3.166084625,-2.214628681,4.321418651,9.649848996,0,0.8,77,0,22,0,6,6,6,0,0,0,9,0,16,0,22,6,31,0,6,6,0,9,22.9288276,6,3.7547,274.508,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T80,OCCOCCOCCOCCOCCOC(C1OCC(OCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCO)COCCOCCOCCOCCOCCOC(CCCCCCCCCCCCCCC(C)C)=O,1311.69,1311.69,1,-25,12.11351973,12.11351973,0.01781589,-0.561731854,0.05597582,15.51111111,1311.686,1184.678,1310.853734,538,0,0.305361946,-0.463219845,0.463219845,0.305361946,0.344444444,0.633333333,0.988888889,16.64532531,10.0201901,2.438214328,-2.293258575,2.256183352,-2.455081488,5.687244669,-0.14505513,2.832554942,2.467698176,1384.667957,64.61843055,55.71608256,55.71608256,44.52760577,33.79106968,33.79106968,21.39116756,21.39116756,13.39497065,13.39497065,8.703406582,8.703406582,-1.49,86.52129816,73.32208085,62.6154605,539.7669915,119.5305672,31.02274752,0,0,0,5.969305288,4.794537184,0,0,0,90.89733387,12.33872767,6.420821623,270.8821605,124.3251044,5.969305288,0,0,5.917906046,128.1548427,277.4890425,0,0,0,0,0,0,0,323.1937955,109.0055222,5.917906046,103.7389771,0,0,0,0,280.82,24.41586555,4.794537184,0,85.25188886,204.6272806,18.75954929,70.62903785,0,0,13.8474744,119.5305672,125.7582539,0,12.11351973,26.4097703,0,0.66582053,0,14.94379966,18.44216918,0,0.984375,90,3,26,0,1,1,0,0,0,0,4,0,26,3,26,1,78,0,1,1,0,4,70.48801798,1,4.4605,334.5754,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
