target,drug_ratio,Polymer_ratio,The 3rd component_ratio,Technique,tech_temp,Temperature/,RH/%,Time/d,MinAbsEStateIndex,MinPartialCharge,MaxAbsPartialCharge,BalabanJ,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA2,PEOE_VSA4,PEOE_VSA7,PEOE_VSA8,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA9,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState3,VSA_EState8,VSA_EState9,FractionCSP3,NumAtomStereoCenters,NumHDonors,NumHeteroatoms,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,MolLogP,fr_ArN,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_carbamate,fr_alkyl_halide,fr_bicyclic,fr_halogen,fr_nitro_arom,fr_oxazole,fr_para_hydroxylation,fr_phenol_noOrthoHbond,fr_piperdine,fr_priamide,fr_tetrazole,fr_urea,Tg_polymer,MaxEStateIndex_polymer,MinAbsEStateIndex_polymer,MinEStateIndex_polymer,MaxAbsPartialCharge_polymer,MinAbsPartialCharge_polymer,BCUT2D_MWLOW_polymer,BCUT2D_MRHI_polymer,BCUT2D_MRLOW_polymer,PEOE_VSA14_polymer,PEOE_VSA3_polymer,EState_VSA10_polymer,EState_VSA7_polymer,VSA_EState4_polymer,VSA_EState8_polymer,fr_Ndealkylation1_polymer,fr_unbrch_alkane_polymer,PEOE_VSA14_3com,EState_VSA6_3com
0,20,80,0,2,50,40,75,147,0.049759779,-0.331977324,0.331977324,1.567618876,2.642452325,9.799819462,0,11.81435946,9.589074368,0,30.38936785,19.00741886,9.589074368,11.81435946,9.799819462,5.917906046,44.56677057,0,0,41.24844814,16.00989599,40.62,9.589074368,30.31886274,6.544756406,0,18.19910121,0,0,1.72029691,0,0.578947368,1,0,4,1,2,0,1,2.5349,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,113,12.82572922,0.055981771,-1.569986372,0.481218929,0.306221438,9.948783081,5.761521085,-0.387893507,23.87722115,0,34.49773092,0,0,3.011681888,0,0,14.3633553,0.701292676
1,20,80,0,2,50,40,75,161,0.049759779,-0.331977324,0.331977324,1.567618876,2.642452325,9.799819462,0,11.81435946,9.589074368,0,30.38936785,19.00741886,9.589074368,11.81435946,9.799819462,5.917906046,44.56677057,0,0,41.24844814,16.00989599,40.62,9.589074368,30.31886274,6.544756406,0,18.19910121,0,0,1.72029691,0,0.578947368,1,0,4,1,2,0,1,2.5349,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,175,11.81012813,0.083477036,-1.522275551,0.391019003,0.186995304,9.95116606,4.984256863,-0.388090575,0,0,30.63916437,0,0,1.173571586,0,0,14.3633553,0.701292676
1,40,60,0,3,65,25,57,720,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
0,40,60,0,3,65,40,75,720,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
0,40,60,0,3,65,25,75,720,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
0,40,60,0,3,65,25,93,720,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
0,40,60,0,3,65,40,53,720,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
0,40,60,0,3,65,40,89,720,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
1,60,40,0,3,65,25,57,720,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
1,60,40,0,3,65,40,75,7,0.127592593,-0.465580031,0.465580031,2.803490088,3.232043294,14.79051451,0,0,10.11431827,0,13.8474744,23.02389719,23.98611132,17.62599685,5.316788604,0,19.76538045,0,0,31.08151671,19.06280028,107.77,19.70339264,22.39704683,11.39407863,19.91384147,5.316788604,9.473725908,14.39104041,3.288860544,2.420777746,0.294117647,0,1,8,0,0,0,0,2.1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,106,14.01328809,0.007241923,-1.023293127,0.465728013,0.302404013,9.877673342,5.81236855,-0.15901027,29.84652644,0,52.73990902,24.49954865,0,9.649848996,0,0,14.3633553,0.701292676
