polymer_name,SMILES,Molecular Weight_polymer,Unit weight_polymer,N of repeat units_polymer,Tg_polymer,MaxAbsEStateIndex_polymer,MaxEStateIndex_polymer,MinAbsEStateIndex_polymer,MinEStateIndex_polymer,qed_polymer,SPS_polymer,MolWt_polymer,HeavyAtomMolWt_polymer,ExactMolWt_polymer,NumValenceElectrons_polymer,NumRadicalElectrons_polymer,MaxPartialCharge_polymer,MinPartialCharge_polymer,MaxAbsPartialCharge_polymer,MinAbsPartialCharge_polymer,FpDensityMorgan1_polymer,FpDensityMorgan2_polymer,FpDensityMorgan3_polymer,BCUT2D_MWHI_polymer,BCUT2D_MWLOW_polymer,BCUT2D_CHGHI_polymer,BCUT2D_CHGLO_polymer,BCUT2D_LOGPHI_polymer,BCUT2D_LOGPLOW_polymer,BCUT2D_MRHI_polymer,BCUT2D_MRLOW_polymer,AvgIpc_polymer,BalabanJ_polymer,BertzCT_polymer,Chi0_polymer,Chi0n_polymer,Chi0v_polymer,Chi1_polymer,Chi1n_polymer,Chi1v_polymer,Chi2n_polymer,Chi2v_polymer,Chi3n_polymer,Chi3v_polymer,Chi4n_polymer,Chi4v_polymer,HallKierAlpha_polymer,Kappa1_polymer,Kappa2_polymer,Kappa3_polymer,LabuteASA_polymer,PEOE_VSA1_polymer,PEOE_VSA10_polymer,PEOE_VSA11_polymer,PEOE_VSA12_polymer,PEOE_VSA13_polymer,PEOE_VSA14_polymer,PEOE_VSA2_polymer,PEOE_VSA3_polymer,PEOE_VSA4_polymer,PEOE_VSA5_polymer,PEOE_VSA6_polymer,PEOE_VSA7_polymer,PEOE_VSA8_polymer,PEOE_VSA9_polymer,SMR_VSA1_polymer,SMR_VSA10_polymer,SMR_VSA2_polymer,SMR_VSA3_polymer,SMR_VSA4_polymer,SMR_VSA5_polymer,SMR_VSA6_polymer,SMR_VSA7_polymer,SMR_VSA8_polymer,SMR_VSA9_polymer,SlogP_VSA1_polymer,SlogP_VSA10_polymer,SlogP_VSA11_polymer,SlogP_VSA12_polymer,SlogP_VSA2_polymer,SlogP_VSA3_polymer,SlogP_VSA4_polymer,SlogP_VSA5_polymer,SlogP_VSA6_polymer,SlogP_VSA7_polymer,SlogP_VSA8_polymer,SlogP_VSA9_polymer,TPSA_polymer,EState_VSA1_polymer,EState_VSA10_polymer,EState_VSA11_polymer,EState_VSA2_polymer,EState_VSA3_polymer,EState_VSA4_polymer,EState_VSA5_polymer,EState_VSA6_polymer,EState_VSA7_polymer,EState_VSA8_polymer,EState_VSA9_polymer,VSA_EState1_polymer,VSA_EState10_polymer,VSA_EState2_polymer,VSA_EState3_polymer,VSA_EState4_polymer,VSA_EState5_polymer,VSA_EState6_polymer,VSA_EState7_polymer,VSA_EState8_polymer,VSA_EState9_polymer,FractionCSP3_polymer,HeavyAtomCount_polymer,NHOHCount_polymer,NOCount_polymer,NumAliphaticCarbocycles_polymer,NumAliphaticHeterocycles_polymer,NumAliphaticRings_polymer,NumAmideBonds_polymer,NumAromaticCarbocycles_polymer,NumAromaticHeterocycles_polymer,NumAromaticRings_polymer,NumAtomStereoCenters_polymer,NumBridgeheadAtoms_polymer,NumHAcceptors_polymer,NumHDonors_polymer,NumHeteroatoms_polymer,NumHeterocycles_polymer,NumRotatableBonds_polymer,NumSaturatedCarbocycles_polymer,NumSaturatedHeterocycles_polymer,NumSaturatedRings_polymer,NumSpiroAtoms_polymer,NumUnspecifiedAtomStereoCenters_polymer,Phi_polymer,RingCount_polymer,MolLogP_polymer,MolMR_polymer,fr_Al_COO_polymer,fr_Al_OH_polymer,fr_Al_OH_noTert_polymer,fr_ArN_polymer,fr_Ar_COO_polymer,fr_Ar_N_polymer,fr_Ar_NH_polymer,fr_Ar_OH_polymer,fr_COO_polymer,fr_COO2_polymer,fr_C_O_polymer,fr_C_O_noCOO_polymer,fr_C_S_polymer,fr_HOCCN_polymer,fr_Imine_polymer,fr_NH0_polymer,fr_NH1_polymer,fr_NH2_polymer,fr_N_O_polymer,fr_Ndealkylation1_polymer,fr_Ndealkylation2_polymer,fr_Nhpyrrole_polymer,fr_SH_polymer,fr_aldehyde_polymer,fr_alkyl_carbamate_polymer,fr_alkyl_halide_polymer,fr_allylic_oxid_polymer,fr_amide_polymer,fr_amidine_polymer,fr_aniline_polymer,fr_aryl_methyl_polymer,fr_azide_polymer,fr_azo_polymer,fr_barbitur_polymer,fr_benzene_polymer,fr_benzodiazepine_polymer,fr_bicyclic_polymer,fr_diazo_polymer,fr_dihydropyridine_polymer,fr_epoxide_polymer,fr_ester_polymer,fr_ether_polymer,fr_furan_polymer,fr_guanido_polymer,fr_halogen_polymer,fr_hdrzine_polymer,fr_hdrzone_polymer,fr_imidazole_polymer,fr_imide_polymer,fr_isocyan_polymer,fr_isothiocyan_polymer,fr_ketone_polymer,fr_ketone_Topliss_polymer,fr_lactam_polymer,fr_lactone_polymer,fr_methoxy_polymer,fr_morpholine_polymer,fr_nitrile_polymer,fr_nitro_polymer,fr_nitro_arom_polymer,fr_nitro_arom_nonortho_polymer,fr_nitroso_polymer,fr_oxazole_polymer,fr_oxime_polymer,fr_para_hydroxylation_polymer,fr_phenol_polymer,fr_phenol_noOrthoHbond_polymer,fr_phos_acid_polymer,fr_phos_ester_polymer,fr_piperdine_polymer,fr_piperzine_polymer,fr_priamide_polymer,fr_prisulfonamd_polymer,fr_pyridine_polymer,fr_quatN_polymer,fr_sulfide_polymer,fr_sulfonamd_polymer,fr_sulfone_polymer,fr_term_acetylene_polymer,fr_tetrazole_polymer,fr_thiazole_polymer,fr_thiocyan_polymer,fr_thiophene_polymer,fr_unbrch_alkane_polymer,fr_urea_polymer
HPMCAS M (SE),O[C@@H]1[C@@H](OC)[C@H](O[C@@H]2[C@H](O[C@@H](O[C@@H]3[C@@H](COCC(OC(CCC(O)=O)=O)C)OC([H])[C@@H]([C@H]3O)OC)[C@H](OC)[C@H]2OC(C)=O)COC)O[C@@H]([C@H]1O[C@H]4[C@H](OC)[C@@H](OC(C)=O)[C@H](O[H])[C@H](O4)COC)COC,18000,991,18.2,113,12.82572922,12.82572922,0.055981771,-1.569986372,0.051312697,38.04411765,990.996,920.436,990.4155324,394,0,0.306221438,-0.481218929,0.481218929,0.306221438,0.544117647,1.029411765,1.558823529,16.78107993,9.948783081,2.571624469,-2.503828332,2.370224513,-2.679920184,5.761521085,-0.387893507,3.27652191,1.583333069,1539.157846,50.24118277,39.97417641,39.97417641,32.45629743,21.96485333,21.96485333,16.39533527,16.39533527,11.4852035,11.4852035,8.325336962,8.325336962,-2.84,57.73652252,28.26439743,15.33277534,393.5453906,105.6896427,91.55949582,31.07801296,0,0,23.87722115,19.17814874,0,0,0,0,6.9237372,63.61605719,52.48293503,124.8677915,23.87722115,0,0,0,156.2503636,89.40987458,0,0,0,0,0,0,0,256.3507141,104.4416819,0,33.61285484,0,0,0,0,315.34,152.9355516,34.49773092,0,46.06211341,0,0,63.61605719,6.9237372,0,0,90.37006056,105.4321292,0,47.80537785,43.4120561,0,-3.324278388,0,-25.42561284,3.011681888,9.421979486,0.904761905,68,4,26,0,4,4,0,0,0,0,20,0,25,4,26,4,26,0,4,4,0,1,23.99835322,4,-2.5261,221.5292,1,3,3,0,0,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMC E5,O[C@@H]1[C@@H](OC)[C@H](O[C@@H]2[C@H](O[C@@H](O[C@@H]3[C@@H](COC)OC([H])[C@@H]([C@H]3O)OC)[C@H](OC)[C@H]2O)COC)O[C@@H]([C@H]1O[C@H]4[C@H](OC)[C@@H](O)[C@H](O[H])[C@H](O4)COC)COCC(O)C,22000,806.9,27.3,175,11.81012813,11.81012813,0.083477036,-1.522275551,0.068362457,44.72727273,806.849,744.353,806.378359,324,0,0.186995304,-0.391019003,0.391019003,0.186995304,0.490909091,0.909090909,1.363636364,16.77469139,9.95116606,2.555651382,-2.49899168,2.356491981,-2.675041049,4.984256863,-0.388090575,3.14864419,1.576715011,1071.818082,40.39624779,32.596652,32.596652,26.38091003,18.17276062,18.17276062,13.88322951,13.88322951,10.06369658,10.06369658,7.192061898,7.192061898,-0.84,46.84509888,22.50840499,11.26027424,320.2275971,101.6921087,97.6634622,18.87008019,0,0,0,0,0,0,0,0,6.9237372,49.76858279,45.74525817,101.6921087,0,0,0,0,129.561246,89.40987458,0,0,0,0,0,0,0,242.6865477,71.05294431,0,6.9237372,0,0,0,0,259.83,122.6375088,30.63916437,0,39.64129179,0,0,56.69231999,0,0,0,71.05294431,86.87992923,0,0,66.00566597,0,0,0,-23.57243422,1.173571586,9.679934091,1,55,6,21,0,4,4,0,0,0,0,20,0,21,6,21,4,20,0,4,4,0,1,19.17106286,4,-4.0834,181.6918,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP VA64,O=C1CCCN1C([H])CC(CC(N2C(CCC2)=O)CC(N3C(CCC3)=O)CC(N4C(CCC4)=O)CC(N5C(CCC5)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)[H])N6C(CCC6)=O,57500,1085.3,53,106,14.01328809,14.01328809,0.007241923,-1.023293127,0.070784972,21.57142857,1085.303,1000.631,1084.594381,430,0,0.302404013,-0.465728013,0.465728013,0.302404013,0.350649351,0.649350649,0.974025974,16.57262929,9.877673342,2.431136615,-2.420247448,2.349173033,-2.515698798,5.81236855,-0.15901027,4.231293793,1.309567682,2140.486776,55.75984434,46.12461008,46.12461008,36.73420259,28.31348967,28.31348967,21.93566543,21.93566543,16.02210211,16.02210211,12.83932282,12.83932282,-5.83,60.39931423,29.23079091,18.3876092,452.3146096,53.08377315,24.41586555,0,35.44307838,0,29.84652644,52.73990902,0,0,0,0,70.62903785,181.2702228,6.606881965,76.42422379,65.28960482,0,29.39945839,0,230.5018314,52.42017681,0,0,0,0,0,0,0,201.7343097,76.42422379,0,175.8767617,0,0,0,0,253.36,72.38791448,52.73990902,0,99.07939336,129.2839759,12.84164325,34.618686,4.899909731,24.49954865,0,23.68431477,28.13739686,0,155.1053821,0,0,-3.166084625,-2.214628681,4.321418651,9.649848996,0,0.8,77,0,22,0,6,6,6,0,0,0,9,0,16,0,22,6,31,0,6,6,0,9,22.9288276,6,3.7547,274.508,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMCAS L (SE),[H]O[C@@H]1[C@H](O[C@@H](O[C@@H]2[C@@H](COC)O[C@@H](O[C@@H]3[C@H](O[C@@H](O[C@@H]4[C@@H](COCC(OC(CCC(O)=O)=O)C)OC([H])[C@@H]([C@H]4OC(C)=O)OC)[C@H](OC)[C@H]3OC)COC)[C@@H]([C@H]2OC(CCC(O)=O)=O)OC)[C@H](OC)[C@H]1OC(C)=O)COC,18000,1105.1,16.3,113,13.53318651,13.53318651,0.064496908,-1.520255775,0.052767662,35.13157895,1105.096,1028.488,1104.447226,438,0,0.306344056,-0.481218929,0.481218929,0.306344056,0.486842105,0.921052632,1.394736842,16.78564914,9.946621456,2.580331066,-2.509770551,2.38128776,-2.683187383,5.768653535,-0.389026959,3.368774725,1.694375047,1807.169907,56.22431043,44.57416953,44.57416953,36.28199594,24.37119437,24.37119437,17.96268193,17.96268193,12.5149964,12.5149964,9.11290779,9.11290779,-3.86,64.66383807,32.27083756,18.09060201,439.1260021,110.0568413,85.45552943,37.18197935,0,0,35.81583173,28.7672231,0,0,0,0,6.9237372,70.72585473,65.32457828,138.8240644,35.81583173,0,0,0,169.0920069,96.51967212,0,0,0,0,0,0,0,270.2925948,123.5044822,0,46.45449809,0,0,0,0,347.71,177.7158054,38.98027789,0,46.06211341,0,6.9237372,63.80211753,6.9237372,0,0,99.84378647,119.6464453,0,73.05086132,29.56015143,0,-5.568452965,0,-26.6335444,2.854589199,10.7566168,0.872340426,76,3,29,0,4,4,0,0,0,0,20,0,27,3,29,4,31,0,4,4,0,1,27.45731861,4,-1.4563,247.0624,2,1,1,0,0,0,0,0,2,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soluplus,O=C1N(C(CC(N2CCCCCC2=O)CC(N3CCCCCC3=O)CC(C)N4CCCCCC4=O)CC(CC(CC(OCCOCCO)COCCO)OC(C)=O)OC(C)=O)CCCCC1,118000,937.2,125.9,70,14.23961392,14.23961392,0.00186207,-0.80801985,0.080901491,21.46969697,937.226,852.554,936.6034887,378,0,0.302403316,-0.462332233,0.462332233,0.302403316,0.46969697,0.863636364,1.333333333,16.5689664,9.888116957,2.39088712,-2.428151669,2.319453984,-2.525233033,5.785271702,-0.156117715,3.809676377,1.725761944,1486.377448,47.68501226,40.54998843,40.54998843,31.8914882,25.40685657,25.40685657,18.90606027,18.90606027,13.60389783,13.60389783,10.48793924,10.48793924,-3.38,55.21842298,30.88894754,19.68658762,393.3978088,53.49700848,12.20793278,0,23.62871892,0,11.93861058,28.7672231,0,0,0,25.68328649,77.55277505,109.1396147,52.35214014,62.66459266,35.56732949,0,19.59963892,0,204.5085498,72.42719938,0,0,0,0,0,0,0,180.2864851,52.45153787,0,162.0292873,0,0,0,0,201.99,36.29235057,33.8737505,0,107.26488,71.12477698,77.04985948,13.8474744,0,19.59963892,6.9237372,28.79084216,29.06317815,0,89.38975982,18.52091362,0,-0.766728568,-1.240192794,11.93350719,7.43289591,0,0.87755102,66,2,17,0,4,4,4,0,0,0,7,0,13,2,17,4,28,0,4,4,0,7,25.8430147,4,4.6981,245.9096,0,2,2,0,0,0,0,0,0,0,6,6,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMCAS L (Ash),[H]O[C@@H]1[C@H](O[C@@H](O[C@@H]2[C@@H](COC)O[C@@H](O[C@@H]3[C@H](O[C@@H](O[C@@H]4[C@@H](COCC(OC(CCC(O)=O)=O)C)OC([H])[C@@H]([C@H]4OC(C)=O)OC)[C@H](OC)[C@H]3OC)COC)[C@@H]([C@H]2OC(CCC(O)=O)=O)OC)[C@H](OC)[C@H]1OC(C)=O)COC,114700,1105.1,103.8,119,13.53318651,13.53318651,0.064496908,-1.520255775,0.052767662,35.13157895,1105.096,1028.488,1104.447226,438,0,0.306344056,-0.481218929,0.481218929,0.306344056,0.486842105,0.921052632,1.394736842,16.78564914,9.946621456,2.580331066,-2.509770551,2.38128776,-2.683187383,5.768653535,-0.389026959,3.368774725,1.694375047,1807.169907,56.22431043,44.57416953,44.57416953,36.28199594,24.37119437,24.37119437,17.96268193,17.96268193,12.5149964,12.5149964,9.11290779,9.11290779,-3.86,64.66383807,32.27083756,18.09060201,439.1260021,110.0568413,85.45552943,37.18197935,0,0,35.81583173,28.7672231,0,0,0,0,6.9237372,70.72585473,65.32457828,138.8240644,35.81583173,0,0,0,169.0920069,96.51967212,0,0,0,0,0,0,0,270.2925948,123.5044822,0,46.45449809,0,0,0,0,347.71,177.7158054,38.98027789,0,46.06211341,0,6.9237372,63.80211753,6.9237372,0,0,99.84378647,119.6464453,0,73.05086132,29.56015143,0,-5.568452965,0,-26.6335444,2.854589199,10.7566168,0.872340426,76,3,29,0,4,4,0,0,0,0,20,0,27,3,29,4,31,0,4,4,0,1,27.45731861,4,-1.4563,247.0624,2,1,1,0,0,0,0,0,2,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP K30,C=CN1CCCC1=O,60000,111.1,539.9,163,10.66,10.66,0.208333333,0.208333333,0.488692043,19.5,111.144,102.072,111.0684139,44,0,0.226055117,-0.319671229,0.319671229,0.226055117,1.75,2.5,2.75,16.15325108,10.38004459,2.154559935,-2.048432761,2.075511437,-2.158559169,5.784446402,-0.124969213,2.139472527,2.536681979,119.6969429,5.983127663,4.76123928,4.76123928,3.842535255,2.76395928,2.76395928,1.873260431,1.873260431,1.330390273,1.330390273,0.862038468,0.862038468,-0.79,5.348696255,1.987228406,0.734836449,48.78988318,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,6.578935684,12.62077651,12.96557803,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,6.544756406,12.77889057,0,0,0,0,0,0,17.35184587,4.794537184,0,12.84164325,12.77889057,0,0,0,20.31,0,4.794537184,0,5.907179729,6.420821623,12.96557803,0,11.09986462,0,6.578935684,0,0,0,12.31277778,0,0,0.208333333,0,3.283935185,4.36162037,0,0.5,8,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.328635141,1,0.7523,31.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasdone S-630,O=C1CCCN1C([H])CC(CC(N2C(CCC2)=O)CC(N3C(CCC3)=O)CC(N4C(CCC4)=O)CC(N5C(CCC5)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)CC(OC(C)=O)[H])N6C(CCC6)=O,47000,1085.3,43.3,106,14.01328809,14.01328809,0.007241923,-1.023293127,0.070784972,21.57142857,1085.303,1000.631,1084.594381,430,0,0.302404013,-0.465728013,0.465728013,0.302404013,0.350649351,0.649350649,0.974025974,16.57262929,9.877673342,2.431136615,-2.420247448,2.349173033,-2.515698798,5.81236855,-0.15901027,4.231293793,1.309567682,2140.486776,55.75984434,46.12461008,46.12461008,36.73420259,28.31348967,28.31348967,21.93566543,21.93566543,16.02210211,16.02210211,12.83932282,12.83932282,-5.83,60.39931423,29.23079091,18.3876092,452.3146096,53.08377315,24.41586555,0,35.44307838,0,29.84652644,52.73990902,0,0,0,0,70.62903785,181.2702228,6.606881965,76.42422379,65.28960482,0,29.39945839,0,230.5018314,52.42017681,0,0,0,0,0,0,0,201.7343097,76.42422379,0,175.8767617,0,0,0,0,253.36,72.38791448,52.73990902,0,99.07939336,129.2839759,12.84164325,34.618686,4.899909731,24.49954865,0,23.68431477,28.13739686,0,155.1053821,0,0,-3.166084625,-2.214628681,4.321418651,9.649848996,0,0.8,77,0,22,0,6,6,6,0,0,0,9,0,16,0,22,6,31,0,6,6,0,9,22.9288276,6,3.7547,274.508,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP K90,C=CN1CCCC1=O,1050000,111.1,9447.5,177,10.66,10.66,0.208333333,0.208333333,0.488692043,19.5,111.144,102.072,111.0684139,44,0,0.226055117,-0.319671229,0.319671229,0.226055117,1.75,2.5,2.75,16.15325108,10.38004459,2.154559935,-2.048432761,2.075511437,-2.158559169,5.784446402,-0.124969213,2.139472527,2.536681979,119.6969429,5.983127663,4.76123928,4.76123928,3.842535255,2.76395928,2.76395928,1.873260431,1.873260431,1.330390273,1.330390273,0.862038468,0.862038468,-0.79,5.348696255,1.987228406,0.734836449,48.78988318,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,6.578935684,12.62077651,12.96557803,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,6.544756406,12.77889057,0,0,0,0,0,0,17.35184587,4.794537184,0,12.84164325,12.77889057,0,0,0,20.31,0,4.794537184,0,5.907179729,6.420821623,12.96557803,0,11.09986462,0,6.578935684,0,0,0,12.31277778,0,0,0.208333333,0,3.283935185,4.36162037,0,0.5,8,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.328635141,1,0.7523,31.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMCAS H (Ash),CO[C@@H]1[C@H](O[C@@H](O[C@@H]2[C@@H](COCC(OC(CCC(O)=O)=O)C)O[C@@H](O[C@@H]3[C@H](O[C@@H](O[C@@H]4[C@@H](COC)O[C@@H](C)[C@@H]([C@H]4OC(C)=O)OC)[C@H](OC)[C@H]3OC)COC)[C@@H]([C@H]2OC(C)=O)OC)[C@H](OC)[C@H]1OC(C)=O)COC,75100,1075.1,69.9,122,13.13269316,13.13269316,0.036771796,-1.473910328,0.074543104,36.83783784,1075.114,996.49,1074.473047,428,0,0.306221438,-0.481218929,0.481218929,0.306221438,0.445945946,0.797297297,1.189189189,16.78707614,9.935517184,2.584475769,-2.513333279,2.386983356,-2.685506613,5.761778668,-0.390218134,3.329355187,1.760905009,1724.416814,54.81009687,44.63577227,44.63577227,35.33683749,24.07157075,24.07157075,17.83227365,17.83227365,12.55571965,12.55571965,9.52480357,9.52480357,-3.33,63.20411763,31.1668407,16.83499577,430.4895577,104.5806494,85.45552943,37.18197935,0,0,29.84652644,23.97268592,0,0,0,0,13.8474744,84.75938947,51.98001946,128.5533353,29.84652644,0,0,0,176.2018044,97.02258769,0,0,0,0,0,0,0,260.7171167,123.446808,0,47.46032924,0,0,0,0,299.41,165.0088232,23.97268592,0,39.45523145,0,0,84.75938947,13.8474744,0,0,104.5806494,127.2679195,0,61.60719791,9.04524233,0,-3.946245152,0,-23.61511238,6.25076104,12.72357011,0.893617021,74,1,27,0,4,4,0,0,0,0,21,0,26,1,27,4,29,0,4,4,0,1,26.61990089,4,-0.2586,245.2518,1,0,0,0,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
