SMILES,Solvent,SMILES_Solvent,canonical_smiles_solvent,value,Temperature_K,MaxAbsEStateIndex.1,MinAbsEStateIndex.1,MinEStateIndex.1,qed.1,SPS.1,MolWt.1,MaxPartialCharge.1,MinPartialCharge.1,MinAbsPartialCharge.1,FpDensityMorgan1.1,FpDensityMorgan2.1,BCUT2D_MWHI.1,BCUT2D_MWLOW.1,BCUT2D_MRHI.1,BCUT2D_MRLOW.1,AvgIpc.1,BalabanJ.1,BertzCT.1,Chi3n.1,HallKierAlpha.1,PEOE_VSA1.1,PEOE_VSA10.1,PEOE_VSA12.1,PEOE_VSA13.1,PEOE_VSA14.1,PEOE_VSA2.1,PEOE_VSA5.1,PEOE_VSA6.1,PEOE_VSA7.1,PEOE_VSA8.1,PEOE_VSA9.1,SMR_VSA1.1,SMR_VSA10.1,SMR_VSA5.1,SMR_VSA6.1,SMR_VSA7.1,SlogP_VSA12.1,SlogP_VSA2.1,SlogP_VSA3.1,SlogP_VSA7.1,EState_VSA1.1,EState_VSA10.1,EState_VSA2.1,EState_VSA3.1,EState_VSA4.1,EState_VSA5.1,EState_VSA6.1,EState_VSA7.1,EState_VSA8.1,EState_VSA9.1,VSA_EState1.1,VSA_EState3.1,VSA_EState4.1,VSA_EState5.1,VSA_EState7.1,VSA_EState8.1,VSA_EState9.1,FractionCSP3.1,NHOHCount.1,NOCount.1,NumAliphaticCarbocycles.1,NumAliphaticHeterocycles.1,NumAliphaticRings.1,NumAtomStereoCenters.1,NumHAcceptors.1,NumHeteroatoms.1,NumRotatableBonds.1,RingCount.1,MolLogP.1,fr_Al_COO.1,fr_NH0.1,fr_NH2.1,fr_Ndealkylation2.1,fr_aryl_methyl.1,fr_lactone.1,fr_methoxy.1,fr_unbrch_alkane.1,MACCS_28.1,MACCS_51.1,MACCS_54.1,MACCS_57.1,MACCS_66.1,MACCS_72.1,MACCS_74.1,MACCS_82.1,MACCS_83.1,MACCS_86.1,MACCS_90.1,MACCS_91.1,MACCS_92.1,MACCS_93.1,MACCS_98.1,MACCS_104.1,MACCS_106.1,MACCS_108.1,MACCS_109.1,MACCS_112.1,MACCS_114.1,MACCS_115.1,MACCS_116.1,MACCS_118.1,MACCS_126.1,MACCS_127.1,MACCS_128.1,MACCS_129.1,MACCS_132.1,MACCS_138.1,MACCS_141.1,MACCS_146.1,MACCS_148.1,MACCS_149.1,MACCS_155.1,MACCS_157.1,MACCS_159.1,MACCS_160.1,MACCS_163.1,MACCS_164.1
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,acetone,CC(C)=O,CC(C)=O,-1.212347918,298.15,9.444444444,0.166666667,0.166666667,0.398236962,6.5,58.08,0.126267944,-0.300343903,0.126267944,1.5,1.5,16.136528,10.55082225,5.717069246,-0.114492595,0.811278124,2.803039488,26.26466251,0,-0.33,4.794537184,5.783244946,0,0,0,0,0,0,13.8474744,0,0,4.794537184,5.783244946,13.8474744,0,0,0,5.783244946,4.794537184,0,0,4.794537184,5.783244946,0,0,13.8474744,0,0,0,0,0,0,0,0.166666667,0,3.055555556,0,0.666666667,0,1,0,0,0,0,1,1,0,0,0.5953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
O=[N+]([O-])c1cccc2ccccc12,acetonitrile,CC#N,CC#N,0.964479792,298.15,7.319444444,1.430555556,1.430555556,0.38698058,2.666666667,41.053,0.058714824,-0.198658426,0.058714824,2,2,14.19977254,10.95508812,4.507020971,1.489653195,0.918295834,2.475534206,24.26466251,0,-0.51,0,0,0,0,0,0,0,0,0,6.9237372,6.069221313,0,0,6.9237372,0,0,0,0,0,0,0,0,0,0,0,6.9237372,6.069221313,0,0,5.261891555,0,7.319444444,0,0,0,1.430555556,0,0.5,0,1,0,0,0,0,1,1,0,0,0.52988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,dichloromethane,ClCCl,ClCCl,-1.092099713,298.15,4.763888889,0.194444444,0.194444444,0.389962107,6,84.933,0.09670639,-0.10913233,0.09670639,1.333333333,1.333333333,35.53900508,11.92599492,6.402082915,2.204917085,0.918295834,1.632993162,2.754887502,0,0.58,0,0,0,0,0,0,23.20187978,0,0,0,5.339185267,0,23.20187978,0,5.339185267,0,23.20187978,5.339185267,0,0,0,0,5.339185267,0,0,0,0,0,0,23.20187978,0,0.194444444,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1.4215,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,DMF,CN(C)C=O,CN(C)C=O,-1.802599176,298.15,9.430555556,0.75,0.75,0.39026824,6.8,73.095,0.208684718,-0.351386795,0.208684718,1.6,1.8,16.14126441,10.98473093,5.448254175,-0.11544113,1.378783493,2.825749369,33.87430298,0.210818511,-0.53,4.899909731,0,6.410095306,0,0,4.794537184,0,0,0,14.09534397,0,4.794537184,6.410095306,0,14.09534397,0,0,25.405349,4.794537184,0,0,4.794537184,0,0,6.410095306,4.899909731,14.09534397,0,0,0,0,0,0,0,0.75,0,3.375,0.666666667,0,2,0,0,0,0,1,2,1,0,-0.2956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,DMSO,CS(C)=O,CS(C)=O,0.686541048,298.15,9.555555556,0.611111111,-0.611111111,0.398185077,8.75,78.136,0.014804214,-0.260157963,0.014804214,1.5,1.5,32.19696041,11.91219609,7.829987043,0.690011823,0.811278124,2.803039488,29.01955001,0,0.15,0,0,0,0,0,4.208898492,0,0,0,23.31110741,0,4.208898492,10.79956904,0,12.51153837,0,0,16.72043686,10.79956904,0,10.79956904,4.208898492,0,0,0,0,12.51153837,0,0,0,9.555555556,0,0,0,3.277777778,0,-0.611111111,1,0,1,0,0,0,0,1,2,0,0,-0.0053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,CCO,CCO,-1.996419091,298.15,7.569444444,0.25,0.25,0.406807966,6,46.069,0.040220582,-0.396663715,0.040220582,2,2,16.24899133,10.90816804,3.835802336,0.318405613,0.918295834,1.632993162,2.754887502,0,-0.04,5.106527395,0,0,0,0,0,0,0,6.9237372,6.606881965,0,5.106527395,0,6.9237372,6.606881965,0,0,11.71340936,0,0,0,0,6.606881965,0,0,0,6.9237372,0,0,5.106527395,0,7.569444444,0,0,0,1.930555556,0,1,1,1,0,0,0,0,1,1,0,0,-0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
CCCCCCCCCCCCCCCCCC(=O)OCCO,ethyl acetate,CCOC(C)=O,CCOC(C)=O,-0.916047259,298.15,9.821527778,0.210648148,-0.210648148,0.437850878,7.666666667,88.106,0.302112778,-0.46617189,0.302112778,1.833333333,2.333333333,16.53089092,10.76990205,5.652796097,-0.139887661,1.348587896,2.83125711,49.509775,0.3476007,-0.53,4.736862954,0,0,0,5.969305288,4.794537184,0,0,6.9237372,6.9237372,6.606881965,9.531400138,5.969305288,13.8474744,6.606881965,0,0,12.57618725,9.531400138,0,0,4.794537184,5.969305288,6.606881965,0,6.9237372,6.9237372,0,4.736862954,0,4.402777778,0,0,-0.210648148,0,3.653009259,0,0.75,0,2,0,0,0,0,2,2,1,0,0.5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
c1ccc2cc3ccccc3cc2c1,isopropanol,CC(C)O,CC(C)O,-2.272134143,298.15,8.055555556,0.166666667,-0.166666667,0.428404794,9,60.096,0.048347612,-0.393706902,0.048347612,1.5,1.5,16.26364309,10.50360187,4.204004314,0.215624827,0.811278124,2.323790008,8,0,-0.04,5.106527395,0,0,0,0,0,0,0,13.8474744,6.103966388,0,5.106527395,0,19.95144079,0,0,0,11.21049378,0,0,0,0,6.103966388,0,0,0,13.8474744,0,0,5.106527395,0,8.055555556,0,0,-0.166666667,3.444444444,0,1,1,1,0,0,0,0,1,1,0,0,0.3871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
CC(=O)NCC(=O)O,methanol,CO,CO,-1.019636171,298.15,7,1,1,0.385284404,3,32.042,0.031940684,-0.399630244,0.031940684,1.5,1.5,16.23570303,11.77429697,3.177807485,0.398992515,1,1,2,0,-0.04,5.106527395,0,0,0,0,0,0,0,0,7.109797541,0,5.106527395,0,0,7.109797541,0,0,12.21632494,0,0,0,0,0,0,7.109797541,0,0,0,0,5.106527395,0,7,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,-0.3915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,THF,C1CCOC1,C1CCOC1,-2.78471007,298.15,4.944444444,1,1,0.410937601,24,72.107,0.04663817,-0.381449382,0.04663817,1,1.6,16.47808085,10.39358405,4.431751901,0.197833493,1.76049503,2.083333333,15.21928095,0.827350269,-0.04,4.736862954,0,0,0,0,0,0,0,12.84164325,13.21376393,0,4.736862954,0,12.84164325,13.21376393,0,0,13.21376393,4.736862954,0,0,0,0,0,13.21376393,12.84164325,0,0,0,4.736862954,4.944444444,0,0,0,2.555555556,2,0,1,0,1,0,1,1,0,1,1,0,1,0.7968,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
