des,ex
HeavyAtomMolWt,0
MaxPartialCharge,0
MinPartialCharge,0
MolMR,0
NumRadicalElectrons,0
NumAliphaticCarbocycles,0
NumAromaticCarbocycles,0
NumSaturatedCarbocycles,0
NumSaturatedHeterocycles,0
NumSaturatedRings,0
ExactMolWt,1
NumValenceElectrons,1
MaxAbsPartialCharge,1
MinAbsPartialCharge,1
HallKierAlpha,1
LabuteASA,1
TPSA,1
FractionCSP3,1
HeavyAtomCount,1
NHOHCount,1
NOCount,1
NumAliphaticHeterocycles,1
NumAliphaticRings,1
NumAromaticHeterocycles,1
NumAromaticRings,1
NumHAcceptors,1
NumHDonors,1
NumHeteroatoms,1
NumRotatableBonds,1
RingCount,1
MaxEStateIndex,2
MinEStateIndex,2
MaxAbsEStateIndex,2
MinAbsEStateIndex,2
qed,2
MolWt,2
FpDensityMorgan1,2
FpDensityMorgan2,2
FpDensityMorgan3,2
BalabanJ,2
BertzCT,2
MolLogP,2
fr_Al_COO,2
fr_Al_OH,2
fr_Al_OH_noTert,2
fr_ArN,2
fr_Ar_COO,2
fr_Ar_N,2
fr_Ar_NH,2
fr_Ar_OH,2
fr_COO,2
fr_COO2,2
fr_C_O,2
fr_C_O_noCOO,2
fr_C_S,2
fr_HOCCN,2
fr_Imine,2
fr_NH0,2
fr_NH1,2
fr_NH2,2
fr_N_O,2
fr_Ndealkylation1,2
fr_Ndealkylation2,2
fr_Nhpyrrole,2
fr_SH,2
fr_aldehyde,2
fr_alkyl_carbamate,2
fr_alkyl_halide,2
fr_allylic_oxid,2
fr_amide,2
fr_amidine,2
fr_aniline,2
fr_aryl_methyl,2
fr_azide,2
fr_azo,2
fr_barbitur,2
fr_benzene,2
fr_benzodiazepine,2
fr_bicyclic,2
fr_diazo,2
fr_dihydropyridine,2
fr_epoxide,2
fr_ester,2
fr_ether,2
fr_furan,2
fr_guanido,2
fr_halogen,2
fr_hdrzine,2
fr_hdrzone,2
fr_imidazole,2
fr_imide,2
fr_isocyan,2
fr_isothiocyan,2
fr_ketone,2
fr_ketone_Topliss,2
fr_lactam,2
fr_lactone,2
fr_methoxy,2
fr_morpholine,2
fr_nitrile,2
fr_nitro,2
fr_nitro_arom,2
fr_nitro_arom_nonortho,2
fr_nitroso,2
fr_oxazole,2
fr_oxime,2
fr_para_hydroxylation,2
fr_phenol,2
fr_phenol_noOrthoHbond,2
fr_phos_acid,2
fr_phos_ester,2
fr_piperdine,2
fr_piperzine,2
fr_priamide,2
fr_prisulfonamd,2
fr_pyridine,2
fr_quatN,2
fr_sulfide,2
fr_sulfonamd,2
fr_sulfone,2
fr_term_acetylene,2
fr_tetrazole,2
fr_thiazole,2
fr_thiocyan,2
fr_thiophene,2
fr_unbrch_alkane,2
fr_urea,2
BCUT2D_MWHI,3
BCUT2D_MWLOW,3
BCUT2D_CHGHI,3
BCUT2D_CHGLO,3
BCUT2D_LOGPHI,3
BCUT2D_LOGPLOW,3
BCUT2D_MRHI,3
BCUT2D_MRLOW,3
Chi0,3
Chi0n,3
Chi0v,3
Chi1,3
Chi1n,3
Chi1v,3
Chi2n,3
Chi2v,3
Chi3n,3
Chi3v,3
Chi4n,3
Chi4v,3
Kappa1,3
Kappa2,3
Kappa3,3
PEOE_VSA1,3
PEOE_VSA10,3
PEOE_VSA11,3
PEOE_VSA12,3
PEOE_VSA13,3
PEOE_VSA14,3
PEOE_VSA2,3
PEOE_VSA3,3
PEOE_VSA4,3
PEOE_VSA5,3
PEOE_VSA6,3
PEOE_VSA7,3
PEOE_VSA8,3
PEOE_VSA9,3
SMR_VSA1,3
SMR_VSA10,3
SMR_VSA2,3
SMR_VSA3,3
SMR_VSA4,3
SMR_VSA5,3
SMR_VSA6,3
SMR_VSA7,3
SMR_VSA8,3
SMR_VSA9,3
SlogP_VSA1,3
SlogP_VSA10,3
SlogP_VSA11,3
SlogP_VSA12,3
SlogP_VSA2,3
SlogP_VSA3,3
SlogP_VSA4,3
SlogP_VSA5,3
SlogP_VSA6,3
SlogP_VSA7,3
SlogP_VSA8,3
SlogP_VSA9,3
EState_VSA1,3
EState_VSA10,3
EState_VSA11,3
EState_VSA2,3
EState_VSA3,3
EState_VSA4,3
EState_VSA5,3
EState_VSA6,3
EState_VSA7,3
EState_VSA8,3
EState_VSA9,3
VSA_EState1,3
VSA_EState10,3
VSA_EState2,3
VSA_EState3,3
VSA_EState4,3
VSA_EState5,3
VSA_EState6,3
VSA_EState7,3
VSA_EState8,3
VSA_EState9,3
