Des_name,explan
Density,1
MP,1
Tg,1
logP,1
logD,1
A_pKa,1
B_pKa,1
logS,1
logPapp,1
Kinetic_Solubility_Pred,1
Soubility_ethanol,1
Soubility_methanol,1
Soubility_isopropanol,1
Soubility_water,1
Soubility_ethyl acetate,1
Soubility_n-propanol,1
Soubility_acetone,1
Soubility_n-butanol,1
Soubility_acetonitrile,1
Soubility_DMF,1
Max_organic_solubility,1
Min_organic_solubility,1
Mean_organic_solubility,1
acid_group,1
acid_pka,1
base_group,1
base_pKa,1
MaxAbsEStateIndex,1
MaxEStateIndex,1
MinAbsEStateIndex,1
MinEStateIndex,1
qed,1
SPS,1
MolWt,1
HeavyAtomMolWt,1
ExactMolWt,1
NumValenceElectrons,1
NumRadicalElectrons,1
MaxPartialCharge,1
MinPartialCharge,1
MaxAbsPartialCharge,1
MinAbsPartialCharge,1
FpDensityMorgan1,5
FpDensityMorgan2,5
FpDensityMorgan3,5
BCUT2D_MWHI,4
BCUT2D_MWLOW,4
BCUT2D_CHGHI,4
BCUT2D_CHGLO,4
BCUT2D_LOGPHI,4
BCUT2D_LOGPLOW,4
BCUT2D_MRHI,4
BCUT2D_MRLOW,4
AvgIpc,3
BalabanJ,1
BertzCT,1
Chi0,5
Chi0n,5
Chi0v,5
Chi1,5
Chi1n,5
Chi1v,5
Chi2n,5
Chi2v,5
Chi3n,5
Chi3v,5
Chi4n,5
Chi4v,5
HallKierAlpha,3
Kappa1,3
Kappa2,3
Kappa3,3
LabuteASA,1
PEOE_VSA1,5
PEOE_VSA10,5
PEOE_VSA11,5
PEOE_VSA12,5
PEOE_VSA13,5
PEOE_VSA14,5
PEOE_VSA2,5
PEOE_VSA3,5
PEOE_VSA4,5
PEOE_VSA5,5
PEOE_VSA6,5
PEOE_VSA7,5
PEOE_VSA8,5
PEOE_VSA9,5
SMR_VSA1,5
SMR_VSA10,5
SMR_VSA2,5
SMR_VSA3,5
SMR_VSA4,5
SMR_VSA5,5
SMR_VSA6,5
SMR_VSA7,5
SMR_VSA8,5
SMR_VSA9,5
SlogP_VSA1,5
SlogP_VSA10,5
SlogP_VSA11,5
SlogP_VSA12,5
SlogP_VSA2,5
SlogP_VSA3,5
SlogP_VSA4,5
SlogP_VSA5,5
SlogP_VSA6,5
SlogP_VSA7,5
SlogP_VSA8,5
SlogP_VSA9,5
TPSA,1
EState_VSA1,5
EState_VSA10,5
EState_VSA11,5
EState_VSA2,5
EState_VSA3,5
EState_VSA4,5
EState_VSA5,5
EState_VSA6,5
EState_VSA7,5
EState_VSA8,5
EState_VSA9,5
VSA_EState1,5
VSA_EState10,5
VSA_EState2,5
VSA_EState3,5
VSA_EState4,5
VSA_EState5,5
VSA_EState6,5
VSA_EState7,5
VSA_EState8,5
VSA_EState9,5
FractionCSP3,1
HeavyAtomCount,1
NHOHCount,1
NOCount,1
NumAliphaticCarbocycles,1
NumAliphaticHeterocycles,1
NumAliphaticRings,1
NumAmideBonds,1
NumAromaticCarbocycles,1
NumAromaticHeterocycles,1
NumAromaticRings,1
NumAtomStereoCenters,1
NumBridgeheadAtoms,1
NumHAcceptors,1
NumHDonors,1
NumHeteroatoms,1
NumHeterocycles,1
NumRotatableBonds,1
NumSaturatedCarbocycles,1
NumSaturatedHeterocycles,1
NumSaturatedRings,1
NumSpiroAtoms,1
NumUnspecifiedAtomStereoCenters,1
Phi,1
RingCount,1
MolLogP,1
MolMR,1
fr_Al_COO,1
fr_Al_OH,1
fr_Al_OH_noTert,2
fr_ArN,1
fr_Ar_COO,1
fr_Ar_N,1
fr_Ar_NH,1
fr_Ar_OH,1
fr_COO,1
fr_COO2,1
fr_C_O,2
fr_C_O_noCOO,2
fr_C_S,1
fr_HOCCN,2
fr_Imine,2
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,1
fr_Ndealkylation1,2
fr_Ndealkylation2,2
fr_Nhpyrrole,2
fr_SH,2
fr_aldehyde,2
fr_alkyl_carbamate,2
fr_alkyl_halide,2
fr_allylic_oxid,2
fr_amide,1
fr_amidine,1
fr_aniline,1
fr_aryl_methyl,2
fr_azide,1
fr_azo,2
fr_barbitur,2
fr_benzene,2
fr_benzodiazepine,2
fr_bicyclic,1
fr_diazo,2
fr_dihydropyridine,2
fr_epoxide,2
fr_ester,2
fr_ether,2
fr_furan,2
fr_guanido,2
fr_halogen,1
fr_hdrzine,2
fr_hdrzone,2
fr_imidazole,2
fr_imide,2
fr_isocyan,2
fr_isothiocyan,2
fr_ketone,1
fr_ketone_Topliss,2
fr_lactam,1
fr_lactone,1
fr_methoxy,2
fr_morpholine,2
fr_nitrile,2
fr_nitro,1
fr_nitro_arom,1
fr_nitro_arom_nonortho,2
fr_nitroso,2
fr_oxazole,2
fr_oxime,2
fr_para_hydroxylation,2
fr_phenol,1
fr_phenol_noOrthoHbond,2
fr_phos_acid,1
fr_phos_ester,1
fr_piperdine,2
fr_piperzine,2
fr_priamide,2
fr_prisulfonamd,2
fr_pyridine,2
fr_quatN,1
fr_sulfide,1
fr_sulfonamd,1
fr_sulfone,1
fr_term_acetylene,2
fr_tetrazole,2
fr_thiazole,2
fr_thiocyan,2
fr_thiophene,2
fr_unbrch_alkane,1
fr_urea,2
