target,Density,MP,Tg,logP,logD,A_pKa,B_pKa,logS,logPapp,Kinetic_Solubility_Pred,Soubility_ethanol,Soubility_methanol,Soubility_DMF,Max_organic_solubility,Min_organic_solubility,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,BalabanJ,TPSA,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHeterocycles,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_amidine,fr_aniline,fr_azide,fr_bicyclic,fr_halogen,fr_ketone,fr_lactam,fr_lactone,fr_nitro,fr_nitro_arom,fr_phos_acid,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_unbrch_alkane
0,1.386319399,188.7379608,37.5932579,3.650976181,3.379142046,4.285933018,4.487132549,-5.94878912,-4.910057068,1,-2.524629612,-2.75469091,-2.637803486,-2.26524542,-3.55781666,16.34292853,0.051608738,-4.314022507,0.303894573,31.31666667,868.948,0.407589676,-0.496683534,1.300873297,195.22,0.7,3,2,5,4,1,1,2,8,2,11,3,8,1,4,0,0,7,4.9565,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0
0,1.202379346,144.1902771,34.12416458,4.86871624,4.358150482,7.211341858,4.291462898,-7.301414967,-5.053665161,1,-2.414028827,-2.550828061,-2.41719288,-2.109084208,-3.473351248,13.79731878,0.11982707,-1.219772092,0.15431196,14,704.869,0.407023553,-0.452870235,1.955024999,171.22,0.447368421,0,0,0,4,2,1,3,4,0,9,1,14,0,0,0,0,3,4.2116,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.100366712,66.97823334,-4.199920654,6.764823914,4.425387383,8.460130692,5.957640648,-7.025441647,-4.358436108,0,-2.409352684,-2.485574794,-2.543119074,-2.037829,-3.155386914,10.54785848,0.019390563,0.019390563,0.510774868,21.08695652,314.469,0.12286807,-0.507496958,2.337597235,40.46,0.523809524,1,0,1,0,1,0,1,2,0,2,0,6,0,0,0,0,2,5.8465,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1.037928224,156.7781982,0.766048431,3.50403595,2.84968853,8.516810417,4.968677044,-3.330545425,-5.422643661,1,-2.576655549,-2.58840895,-2.437863151,-2.243627946,-3.521855999,15.16259808,0.01245437,-1.635981281,0.13916059,26.6744186,1214.646,0.245643649,-0.390126485,4.337043183,278.8,0.761904762,0,1,1,11,0,0,0,12,0,12,1,16,1,1,0,0,1,3.4351,0,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.32986486,262.0743713,26.95640945,2.604950666,1.852098227,8.225340843,3.556431532,-3.511225224,-4.77499342,1,-2.393040111,-2.453192394,-2.443458787,-1.993346473,-3.147326267,16.78323468,0.017080171,-1.879491804,0.679894964,51.85185185,380.456,0.189629196,-0.389725479,1.797655104,94.83,0.80952381,4,0,4,0,0,0,0,7,0,5,0,2,0,3,0,0,4,1.8737,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
0,1.311656833,156.5820007,32.18839645,3.661205769,4.037917614,7.753865242,3.463225126,-5.257726669,-4.392174721,1,-2.458900866,-2.502652195,-2.497014438,-1.967961863,-3.486457881,12.8763511,0.114141629,-0.97688681,0.452786037,16.71428571,388.42,0.33626393,-0.465580031,2.691404767,107.77,0.4,0,1,1,0,1,0,1,1,0,7,1,6,0,0,0,1,2,3.2018,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1.29820168,146.227951,20.91856766,6.078923225,4.102119923,4.510300636,7.420861244,-7.090292454,-4.647055626,1,-2.423607376,-2.463864815,-2.372093884,-2.076499534,-3.619189318,13.821631,0.031452745,-4.397952317,0.295072334,18.02702703,516.604,0.41619699,-0.480955234,1.402057615,62.13,0.517241379,1,1,2,0,2,0,2,0,0,4,1,9,1,2,0,0,4,6.7727,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,1.307859302,103.6196136,34.76528549,4.06716013,3.014817238,8.248668671,3.473150492,-5.471006393,-5.2156744,1,-2.586198515,-2.717924176,-2.571181309,-2.23534468,-3.625624281,13.48994715,0.000182827,-3.927918185,0.364423117,22.81578947,547.674,0.407322832,-0.443274597,1.5050424,140.42,0.518518519,0,2,2,1,2,0,2,5,0,8,2,11,2,2,0,0,4,2.3753,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1.265256882,150.3776703,59.0068779,4.701407433,3.732856989,9.263623238,6.009309769,-6.212817669,-5.093541145,1,-2.535252869,-2.729472099,-2.609049517,-2.19392822,-3.609539263,13.51861655,0.104129766,-0.686986852,0.140298185,18.14814815,738.89,0.40701287,-0.452870358,1.105428798,174.64,0.45,0,2,2,4,2,2,4,4,0,8,4,11,2,2,0,0,6,6.222,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.347093463,132.6619873,43.64889908,6.24601841,4.15157938,4.941268921,3.236637831,-6.338460922,-4.54019022,1,-2.42151429,-2.401591884,-2.356817403,-1.920774305,-3.656599329,12.92624604,0.06828156,-1.087882855,0.152769334,12.30769231,591.557,0.3307896,-0.495658548,1.767138317,97.75,0.344827586,0,0,0,1,2,1,3,1,0,6,1,13,0,0,0,0,3,8.5236,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
0,1.522492647,131.7358856,54.57036972,5.347855568,4.210360527,7.43346405,3.002979279,-6.81350708,-4.544571877,0,-2.665708474,-2.768351506,-2.784285061,-2.211882649,-3.580463076,12.55488518,0.08034465,-2.993163413,0.704638346,13.57692308,403.212,0.387161548,-0.489382563,1.810990516,60.45,0.294117647,1,0,1,1,1,1,2,0,0,4,1,7,0,1,0,0,3,5.0309,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,1.212352991,100.0914154,23.24266434,5.477474213,3.739744425,8.32988739,9.509674072,-6.664738655,-4.691791534,0,-2.405146979,-2.560621865,-2.597056505,-2.075167482,-3.460561558,13.67614357,0.147778908,-3.448715757,0.133407036,11.82051282,556.769,0.229319215,-0.493549659,1.712970762,88.85,0.516129032,0,0,0,0,2,1,3,0,0,6,1,18,0,0,0,0,3,7.049,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3
0,1.350432277,140.348175,34.97113419,5.184579372,4.688738346,9.367908478,7.347340107,-7.105976582,-5.595139027,0,-2.456628164,-2.65431722,-2.544242319,-2.093991432,-3.529017195,13.71609571,0.077313476,-4.532205749,0.129688905,16.04,693.732,0.41591022,-0.349191056,1.052191156,61.44,0.333333333,1,1,2,2,4,0,4,0,0,3,1,10,1,1,0,0,6,8.3821,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,1
0,1.102226734,48.08263397,-54.15207291,5.682243347,7.265104294,7.701727867,3.775060415,-7.089436054,-5.330719948,1,-2.107058867,-2.123758464,-2.11508987,-1.65494954,-2.954909792,12.48767393,0.1469336,-0.842248183,0.156093614,10.69230769,530.661,0.30581911,-0.461579758,1.409814476,78.9,0.363636364,0,0,0,0,3,0,3,0,0,6,0,17,0,0,0,0,3,6.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.219251156,178.9582977,29.68372726,5.103681087,3.698369026,8.074986458,4.293190002,-5.602116585,-4.525239944,1,-2.525543534,-2.441777942,-2.443400045,-2.031744584,-3.147292983,13.33052092,0.041242696,-1.58839182,0.542992215,43.2,486.649,0.305730985,-0.457539113,1.275924187,100.9,0.827586207,5,0,5,0,0,0,0,7,0,6,0,6,0,4,0,0,5,4.3029,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
0,1.118430018,91.65351868,8.830852509,5.391806602,2.283923864,10.59946251,9.750148773,-6.069627762,-5.585368156,1,-2.205019832,-2.352466329,-2.354523789,-1.94749048,-3.072464856,12.34291413,0.044613279,-0.244631939,0.421099694,12.76666667,411.586,0.313270734,-0.426020349,2.475404284,49.77,0.5,0,0,0,0,2,0,2,1,0,4,0,10,0,0,0,0,2,5.3811,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.358368278,143.5830994,46.47986221,5.124282837,5.729991913,9.330724716,4.106699944,-6.509501457,-5.200755119,0,-2.60534863,-2.814889941,-2.690325206,-2.255548054,-3.628261731,12.99100013,0.114397104,-4.748471614,0.493386971,18.28571429,485.506,0.572596303,-0.405799291,1.471020779,63.69,0.307692308,0,1,1,1,2,1,3,2,0,5,2,5,1,1,0,0,4,5.82152,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,1.169463038,126.2454071,35.0406456,5.390422344,3.983736515,10.01302433,3.860690355,-5.51164484,-4.930007458,1,-2.339198864,-2.239758333,-2.350031189,-1.889147122,-3.190759207,10.95564777,0.104275439,-0.899978293,0.796834753,41.39130435,310.437,0.130335878,-0.496757609,1.696156214,29.46,0.619047619,3,0,3,0,1,0,1,5,0,2,0,1,0,2,0,0,4,3.9156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
