NO,Web of Science Index,Drug,Drug_smiles,Solvent_name,Solvent_1_smiles,Solvent_1_weight_fraction,Solvent_1_mol_fraction,Solvent_1_mol_fraction.1,Solvent_2,Solvent_2_smiles,DOI,group,Solubility (mol/mol),value,Solvent_1_fraction_mol,Temperature (K),MaxAbsEStateIndex-S1,MinAbsEStateIndex-S1,MinEStateIndex-S1,qed-S1,SPS-S1,MolWt-S1,MinPartialCharge-S1,MinAbsPartialCharge-S1,FpDensityMorgan1-S1,FpDensityMorgan2-S1,BCUT2D_MWHI-S1,BCUT2D_MRLOW-S1,BertzCT-S1,Chi3n-S1,HallKierAlpha-S1,Kappa3-S1,PEOE_VSA1-S1,PEOE_VSA10-S1,PEOE_VSA12-S1,PEOE_VSA14-S1,PEOE_VSA2-S1,PEOE_VSA3-S1,PEOE_VSA4-S1,PEOE_VSA5-S1,PEOE_VSA6-S1,PEOE_VSA7-S1,PEOE_VSA8-S1,SMR_VSA1-S1,SMR_VSA10-S1,SMR_VSA4-S1,SMR_VSA5-S1,SMR_VSA6-S1,SMR_VSA7-S1,SlogP_VSA12-S1,SlogP_VSA3-S1,TPSA-S1,EState_VSA1-S1,EState_VSA10-S1,EState_VSA2-S1,EState_VSA3-S1,EState_VSA4-S1,EState_VSA5-S1,EState_VSA7-S1,EState_VSA8-S1,VSA_EState1-S1,VSA_EState3-S1,VSA_EState5-S1,VSA_EState7-S1,VSA_EState8-S1,VSA_EState9-S1,NOCount-S1,NumAliphaticCarbocycles-S1,NumAliphaticHeterocycles-S1,NumAtomStereoCenters-S1,NumHAcceptors-S1,NumRotatableBonds-S1,NumSaturatedCarbocycles-S1,RingCount-S1,MolLogP-S1,fr_NH0-S1,fr_Ndealkylation2-S1,fr_aryl_methyl-S1,fr_ether-S1,fr_methoxy-S1,fr_morpholine-S1,fr_unbrch_alkane-S1
1,36,Guanidine hydrochloride,C(=N)(N)N.Cl,Dimethylformamide,N(C=O)(C)C,0.1001,0.083790099,0.083790099,1-Propanol,C(CO)C,doi.org/10.1016/j.molliq.2023.122902,23.36111111,0.0694,-1.15864053,0.083790099,278.15,9.430555556,0.75,0.75,0.39026824,6.8,73.095,-0.351386795,0.208684718,1.6,1.8,16.14126441,-0.11544113,33.87430298,0.210818511,-0.53,3.47,4.899909731,0,6.410095306,0,4.794537184,0,0,0,0,0,14.09534397,4.794537184,6.410095306,0,0,14.09534397,0,0,4.794537184,20.31,0,4.794537184,0,0,6.410095306,4.899909731,0,0,0,0,0,0.75,0,3.375,2,0,0,0,1,1,0,0,-0.2956,1,0,0,0,0,0,0
51,36,Guanidine hydrochloride,C(=N)(N)N.Cl,2-Methoxyethanol,C(CO)OC,0.1001,0.080753483,0.080753483,1-Propanol,C(CO)C,doi.org/10.1016/j.molliq.2023.122902,21.87180556,0.06989,-1.15558496,0.080753483,278.15,7.94125,0.121527778,0.121527778,0.48573367,8.4,76.095,-0.393980616,0.069342652,1.8,2.4,16.47203731,0.135443231,12.36452798,0.295411238,-0.08,3.92,9.843390349,0,0,0,0,0,0,0,0,0,7.109797541,9.843390349,0,0,0,20.32356147,0,0,4.736862954,29.46,0,0,6.606881965,6.606881965,0,0,0,4.736862954,4.440972222,7.94125,0,0,0.565972222,1.551805556,2,0,0,0,2,2,0,0,-0.3749,0,0,0,1,1,0,0
101,36,Guanidine hydrochloride,C(=N)(N)N.Cl,Methanol,CO,0.1001,0.172613318,0.172613318,1-Propanol,C(CO)C,doi.org/10.1016/j.molliq.2023.122902,20.93055556,0.05598,-1.251967106,0.172613318,278.15,7,1,1,0.385284404,3,32.042,-0.399630244,0.031940684,1.5,1.5,16.23570303,0.398992515,2,0,-0.04,-27.04,5.106527395,0,0,0,0,0,0,0,0,0,7.109797541,5.106527395,0,0,0,7.109797541,0,0,0,20.23,0,0,0,0,7.109797541,0,0,0,0,7,0,0,0,1,1,0,0,0,1,0,0,0,-0.3915,0,0,0,0,0,0,0
151,36,Guanidine hydrochloride,C(=N)(N)N.Cl,N-methyl-2-pyrrolidone,O=C1N(C)CCC1,0.1001,0.063172324,0.063172324,1-Propanol,C(CO)C,doi.org/10.1016/j.molliq.2023.122902,24.43055556,0.0569,-1.244887734,0.063172324,278.15,10.5,0.291666667,0.291666667,0.425686211,21.28571429,99.133,-0.345748915,0.221873564,1.714285714,2.428571429,16.15310778,-0.126031391,90.080944,1.309920344,-0.53,0.734423082,4.899909731,0,5.907179729,0,4.794537184,0,0,0,0,6.420821623,20.01325001,4.794537184,5.907179729,0,12.84164325,13.59242839,0,0,4.794537184,20.31,0,4.794537184,0,5.907179729,19.38639965,0,7.047671983,0,0,0,0.291666667,1.811342593,0.957175926,1.842592593,2,0,1,0,1,0,0,1,0.2386,1,1,0,0,0,0,0
201,55,Glucosamine hydrochloride,[C@H]([C@@H]([C@@H](CO)O)O)([C@H](C=O)N)O.Cl,Water,O,,0,0,Methanol,CO,doi.org/10.1016/j.molliq.2023.122564,17.02142621,0.0008012,-3.096259059,0,283.15,0,0,0,0.327747677,0,18.015,-0.411509522,0.411509522,1,1,15.999,0.8238,0,0,-0.04,-104.04,5.476191836,0,0,0,0,0,0,0,0,0,0,5.476191836,0,0,0,0,0,0,0,31.5,0,0,5.476191836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.8247,0,0,0,0,0,0,0
327,57,2-Amino-6-chloropyrazine,ClC1=NC(N)=CN=C1,Ethanol,C(C)O,0.9,0.778731436,0.778731436,Water,O,doi.org/10.1016/j.jct.2023.107109,12.96080247,0.001236,-2.907981529,0.778731436,278.15,7.569444444,0.25,0.25,0.406807966,6,46.069,-0.396663715,0.040220582,2,2,16.24899133,0.318405613,2.754887502,0,-0.04,1.96,5.106527395,0,0,0,0,0,0,0,0,6.9237372,6.606881965,5.106527395,0,0,6.9237372,6.606881965,0,0,0,20.23,0,0,6.606881965,0,0,0,0,0,0,7.569444444,0,0,1.930555556,0,1,0,0,0,1,0,0,0,-0.0014,0,0,0,0,0,0,0
417,57,2-Amino-6-chloropyrazine,ClC1=NC(N)=CN=C1,1-Propanol,C(CO)C,0.9,0.729578682,0.729578682,Water,O,doi.org/10.1016/j.jct.2023.107109,13.26635802,0.003484,-2.457921854,0.729578682,278.15,7.875,0.319444444,0.319444444,0.463783983,7.5,60.096,-0.396387351,0.04278928,1.75,2,16.2498503,0.294768568,5.245112498,0.223606798,-0.04,1.96,5.106527395,0,0,0,0,0,0,0,6.9237372,6.420821623,6.606881965,5.106527395,0,0,13.34455882,6.606881965,0,0,0,20.23,0,0,0,6.606881965,6.420821623,0,6.9237372,0,0,7.875,0,0.875,2.25,0,1,0,0,0,1,1,0,0,0.3887,0,0,0,0,0,0,0
507,57,2-Amino-6-chloropyrazine,ClC1=NC(N)=CN=C1,Propylene glycol,C(CO)(C)O,0.9,0.680581791,0.680581791,Water,O,doi.org/10.1016/j.jct.2023.107109,13.50246914,0.000707,-3.150580586,0.680581791,278.15,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,-0.393700042,0.074238644,1.8,2,16.31513815,0.109859609,18.85475297,0.264223844,-0.08,3.92,10.21305479,0,0,0,0,0,0,0,0,6.9237372,0,10.21305479,0,0,13.02770359,6.606881965,0,0,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,0,16.00462963,0,-0.560185185,1.388888889,0,2,0,0,1,2,1,0,0,-0.6405,0,0,0,0,0,0,0
759,60,Thiamine nitrate,N(=O)(=O)[O-].C([N+]=1C(C)=C(CCO)SC1)C=2C(N)=NC(C)=NC2,Acetone,C(C)(C)=O,,0,0.1,Water,O,doi.org/10.3390/molecules28135012,18.41962729,0.00127,-2.896196279,0.1,278.15,9.444444444,0.166666667,0.166666667,0.398236962,6.5,58.08,-0.300343903,0.126267944,1.5,1.5,16.136528,-0.114492595,26.26466251,0,-0.33,6.883957759,4.794537184,5.783244946,0,0,0,0,0,0,0,13.8474744,0,4.794537184,5.783244946,0,13.8474744,0,0,0,4.794537184,17.07,0,4.794537184,5.783244946,0,0,13.8474744,0,0,0,0,0.166666667,0,3.055555556,0,1,0,0,0,1,0,0,0,0.5953,0,0,0,0,0,0,0
815,60,Thiamine nitrate,N(=O)(=O)[O-].C([N+]=1C(C)=C(CCO)SC1)C=2C(N)=NC(C)=NC2,2-Propanol,C(C)(C)O,,0,0.1,Water,O,doi.org/10.3390/molecules28135012,17.0307384,0.000813,-3.089909454,0.1,278.15,8.055555556,0.166666667,-0.166666667,0.428404794,9,60.096,-0.393706902,0.048347612,1.5,1.5,16.26364309,0.215624827,8,0,-0.04,1128.96,5.106527395,0,0,0,0,0,0,0,0,13.8474744,6.103966388,5.106527395,0,0,19.95144079,0,0,0,0,20.23,0,0,6.103966388,0,0,0,0,0,0,8.055555556,0,-0.166666667,3.444444444,0,1,0,0,0,1,0,0,0,0.3871,0,0,0,0,0,0,0
