NO,Web of Science Index,Drug,Drug_smiles,Solvent_1,Solvent_1_smiles,Solvent_1_weight_fraction,Solvent_1_mol_fraction,Solvent_1_mol_fraction.1,Solvent_name,Solvent_2_smiles,DOI,group,Solubility (mol/mol),value,Solvent_1_fraction_mol,Temperature (K),MaxAbsEStateIndex-S2,MinAbsEStateIndex-S2,MinEStateIndex-S2,qed-S2,SPS-S2,MolWt-S2,MinPartialCharge-S2,MinAbsPartialCharge-S2,FpDensityMorgan1-S2,FpDensityMorgan2-S2,BCUT2D_MWHI-S2,BCUT2D_MRLOW-S2,BertzCT-S2,Chi3n-S2,HallKierAlpha-S2,Kappa3-S2,PEOE_VSA1-S2,PEOE_VSA10-S2,PEOE_VSA12-S2,PEOE_VSA14-S2,PEOE_VSA2-S2,PEOE_VSA3-S2,PEOE_VSA4-S2,PEOE_VSA5-S2,PEOE_VSA6-S2,PEOE_VSA7-S2,PEOE_VSA8-S2,SMR_VSA1-S2,SMR_VSA10-S2,SMR_VSA4-S2,SMR_VSA5-S2,SMR_VSA6-S2,SMR_VSA7-S2,SlogP_VSA12-S2,SlogP_VSA3-S2,TPSA-S2,EState_VSA1-S2,EState_VSA10-S2,EState_VSA2-S2,EState_VSA3-S2,EState_VSA4-S2,EState_VSA5-S2,EState_VSA7-S2,EState_VSA8-S2,VSA_EState1-S2,VSA_EState3-S2,VSA_EState5-S2,VSA_EState7-S2,VSA_EState8-S2,VSA_EState9-S2,NOCount-S2,NumAliphaticCarbocycles-S2,NumAliphaticHeterocycles-S2,NumAtomStereoCenters-S2,NumHAcceptors-S2,NumRotatableBonds-S2,NumSaturatedCarbocycles-S2,RingCount-S2,MolLogP-S2,fr_NH0-S2,fr_Ndealkylation2-S2,fr_aryl_methyl-S2,fr_ether-S2,fr_methoxy-S2,fr_morpholine-S2,fr_unbrch_alkane-S2
1,36,Guanidine hydrochloride,C(=N)(N)N.Cl,Dimethylformamide,N(C=O)(C)C,0.1001,0.083790099,0.083790099,1-Propanol,C(CO)C,doi.org/10.1016/j.molliq.2023.122902,23.36111111,0.0694,-1.15864053,0.083790099,278.15,7.875,0.319444444,0.319444444,0.463783983,7.5,60.096,-0.396387351,0.04278928,1.75,2,16.2498503,0.294768568,5.245112498,0.223606798,-0.04,1.96,5.106527395,0,0,0,0,0,0,0,6.9237372,6.420821623,6.606881965,5.106527395,0,0,13.34455882,6.606881965,0,0,0,20.23,0,0,0,6.606881965,6.420821623,0,6.9237372,0,0,7.875,0,0.875,2.25,0,1,0,0,0,1,1,0,0,0.3887,0,0,0,0,0,0,0
201,55,Glucosamine hydrochloride,[C@H]([C@@H]([C@@H](CO)O)O)([C@H](C=O)N)O.Cl,Water,O,,0,0,Methanol,CO,doi.org/10.1016/j.molliq.2023.122564,17.02142621,0.0008012,-3.096259059,0,283.15,7,1,1,0.385284404,3,32.042,-0.399630244,0.031940684,1.5,1.5,16.23570303,0.398992515,2,0,-0.04,-27.04,5.106527395,0,0,0,0,0,0,0,0,0,7.109797541,5.106527395,0,0,0,7.109797541,0,0,0,20.23,0,0,0,0,7.109797541,0,0,0,0,7,0,0,0,1,1,0,0,0,1,0,0,0,-0.3915,0,0,0,0,0,0,0
264,55,Glucosamine hydrochloride,[C@H]([C@@H]([C@@H](CO)O)O)([C@H](C=O)N)O.Cl,Water,O,,0,0.4,Ethanol,C(C)O,doi.org/10.1016/j.molliq.2023.122564,17.59087065,0.001,-3,0.4,283.15,7.569444444,0.25,0.25,0.406807966,6,46.069,-0.396663715,0.040220582,2,2,16.24899133,0.318405613,2.754887502,0,-0.04,1.96,5.106527395,0,0,0,0,0,0,0,0,6.9237372,6.606881965,5.106527395,0,0,6.9237372,6.606881965,0,0,0,20.23,0,0,6.606881965,0,0,0,0,0,0,7.569444444,0,0,1.930555556,0,1,0,0,0,1,0,0,0,-0.0014,0,0,0,0,0,0,0
327,57,2-Amino-6-chloropyrazine,ClC1=NC(N)=CN=C1,Ethanol,C(C)O,0.9,0.778731436,0.778731436,Water,O,doi.org/10.1016/j.jct.2023.107109,12.96080247,0.001236,-2.907981529,0.778731436,278.15,0,0,0,0.327747677,0,18.015,-0.411509522,0.411509522,1,1,15.999,0.8238,0,0,-0.04,-104.04,5.476191836,0,0,0,0,0,0,0,0,0,0,5.476191836,0,0,0,0,0,0,0,31.5,0,0,5.476191836,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.8247,0,0,0,0,0,0,0
970,66,Aripiprazole,O(CCCCN1CCN(CC1)C2=C(Cl)C(Cl)=CC=C2)C=3C=C4C(=CC3)CCC(=O)N4,Butanone,C(CC)(C)=O,,0,0,Acetone,C(C)(C)=O,doi.org/10.1016/j.molliq.2023.122434,30.80401193,0.000873,-3.058985756,0,278.15,9.444444444,0.166666667,0.166666667,0.398236962,6.5,58.08,-0.300343903,0.126267944,1.5,1.5,16.136528,-0.114492595,26.26466251,0,-0.33,6.883957759,4.794537184,5.783244946,0,0,0,0,0,0,0,13.8474744,0,4.794537184,5.783244946,0,13.8474744,0,0,0,4.794537184,17.07,0,4.794537184,5.783244946,0,0,13.8474744,0,0,0,0,0.166666667,0,3.055555556,0,1,0,0,0,1,0,0,0,0.5953,0,0,0,0,0,0,0
1069,66,Aripiprazole,O(CCCCN1CCN(CC1)C2=C(Cl)C(Cl)=CC=C2)C=3C=C4C(=CC3)CCC(=O)N4,Butanone,C(CC)(C)=O,,0,0,Ethyl acetate,O(C(C)=O)CC,doi.org/10.1016/j.molliq.2023.122434,31.18109526,0.00114,-2.943095149,0,278.15,9.821527778,0.210648148,-0.210648148,0.437850878,7.666666667,88.106,-0.46617189,0.302112778,1.833333333,2.333333333,16.53089092,-0.139887661,49.509775,0.3476007,-0.53,3.47,4.736862954,0,0,5.969305288,4.794537184,0,0,0,0,6.9237372,6.9237372,9.531400138,5.969305288,0,13.8474744,6.606881965,0,0,9.531400138,26.3,0,4.794537184,5.969305288,6.606881965,0,6.9237372,0,4.736862954,4.402777778,0,-0.210648148,0,3.653009259,0,2,0,0,0,2,1,0,0,0.5694,0,0,0,1,0,0,0
1333,68,Itraconazole,C([C@]1(O[C@@H](COC2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)N5C(=O)N(C(CC)C)N=C5)CO1)C6=C(Cl)C=C(Cl)C=C6)N7C=NC=N7,Dichloromethane,C(Cl)Cl,0,0,0,1-Butanol,C(CC)CO,doi.org/10.1016/j.jct.2023.107115,25.63165471,0.0000143,-4.844663963,0,288.15,8.06625,0.34375,0.34375,0.512821799,8.4,74.123,-0.396376752,0.043042283,1.6,2.2,16.24991399,0.286783838,11.11941548,0.511667274,-0.04,3.96,5.106527395,0,0,0,0,0,0,0,13.34455882,6.420821623,6.606881965,5.106527395,0,0,19.76538045,6.606881965,0,0,0,20.23,0,0,0,6.606881965,12.84164325,0,0,6.9237372,0,8.06625,0,2.038194444,2.395555556,0,1,0,0,0,1,2,0,0,0.7788,0,0,0,0,0,0,1
1608,75,"β-octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine",N(=O)(=O)N1CN(N(=O)=O)CN(N(=O)=O)CN(N(=O)=O)C1,Water,O,,0,0,Acetic acid,C(C)(O)=O,doi.org/10.1016/j.jct.2023.107097,19.65655471,0.000176,-3.754487332,0,333.15,9,0.833333333,-0.833333333,0.429882883,6.25,60.052,-0.481433475,0.299684553,2,2,16.36392907,-0.133928992,27.01955001,0,-0.53,1.156009256,5.106527395,0,0,0,4.794537184,0,0,0,0,0,6.9237372,9.901064579,5.969305288,0,6.9237372,0,0,0,4.794537184,37.3,5.969305288,0,0,0,6.9237372,0,0,0,0,7.416666667,-0.833333333,0,1.083333333,0,2,0,0,0,1,0,0,0,0.0909,0,0,0,0,0,0,0
1736,75,"β-octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine",N(=O)(=O)N1CN(N(=O)=O)CN(N(=O)=O)CN(N(=O)=O)C1,Water,O,,0,0,Dimethyl sulfoxide,S(C)(C)=O,doi.org/10.1016/j.jct.2023.107097,20.21211026,0.0857,-1.067019178,0,298.15,9.555555556,0.611111111,-0.611111111,0.398185077,8.75,78.136,-0.260157963,0.014804214,1.5,1.5,32.19696041,0.690011823,29.01955001,0,0.15,126.3722222,0,0,0,0,4.208898492,0,0,0,0,0,23.31110741,4.208898492,10.79956904,0,0,12.51153837,0,0,10.79956904,17.07,10.79956904,4.208898492,0,0,0,0,0,0,9.555555556,0,0,3.277777778,0,-0.611111111,1,0,0,0,1,0,0,0,-0.0053,0,0,0,0,0,0,0
2010,89,Allantoin,N(C(N)=O)C1NC(=O)NC1=O,Methanol,CO,,0,0,Ethylene glycol,C(CO)O,doi.org/10.1080/00986445.2023.2218268,25.28046296,0.001837,-2.735890844,0,288.15,7.625,0.125,-0.125,0.407527891,7.5,62.068,-0.393990542,0.06622664,1,1.25,16.30425825,0.185938562,6,0.1,-0.08,1.92,10.21305479,0,0,0,0,0,0,0,0,0,0,10.21305479,0,0,0,13.21376393,0,0,0,40.46,0,0,13.21376393,0,0,0,0,0,0,15.25,0,0,-0.25,0,2,0,0,0,2,1,0,0,-1.029,0,0,0,0,0,0,0
2700,153,"2,5-Furandicarboxylic acid",C(O)(=O)C=1OC(C(O)=O)=CC1,Water,O,,0,0,"1,4-Dioxane",C1COCCO1,doi.org/10.1021/acs.jced.2c00730,15.09462113,0.008862,-2.052468254,0,343.15,4.944444444,0.777777778,0.777777778,0.41574925,24,88.106,-0.376667636,0.070114395,0.666666667,1,16.56430083,-0.033358206,21.01955001,0.744016936,-0.08,0.953692476,9.473725908,0,0,0,0,0,0,0,0,0,0,9.473725908,0,0,0,26.42752786,0,0,9.473725908,18.46,0,0,0,0,26.42752786,0,0,0,9.888888889,0,0,0,3.111111111,0,2,0,1,0,2,0,0,1,0.0332,0,0,0,2,0,0,0
2790,153,"2,5-Furandicarboxylic acid",C(O)(=O)C=1OC(C(O)=O)=CC1,Water,O,,0,0,Tetrahydrofuran,C1CCOC1,doi.org/10.1021/acs.jced.2c00730,15.09462113,0.012841,-1.891401154,0,333.15,4.944444444,1,1,0.410937601,24,72.107,-0.381449382,0.04663817,1,1.6,16.47808085,0.197833493,15.21928095,0.827350269,-0.04,0.618363684,4.736862954,0,0,0,0,0,0,0,0,12.84164325,13.21376393,4.736862954,0,0,12.84164325,13.21376393,0,0,4.736862954,9.23,0,0,0,0,13.21376393,12.84164325,0,0,4.944444444,0,0,2.555555556,2,0,1,0,1,0,1,0,0,1,0.7968,0,0,0,1,0,0,0
2880,153,"2,5-Furandicarboxylic acid",C(O)(=O)C=1OC(C(O)=O)=CC1,Water,O,,0,0,"1,2-Dimethoxyethane",C(COC)OC,doi.org/10.1021/acs.jced.2c00730,14.8073989,0.005585,-2.252976823,0,343.15,4.657222222,0.690972222,0.690972222,0.463261116,9,90.122,-0.382298018,0.069601968,1,1.333333333,16.50945958,0.102605346,17.509775,0.491581624,-0.08,3.92,9.473725908,0,0,0,0,0,0,0,0,0,14.21959508,9.473725908,0,0,0,27.43335901,0,0,9.473725908,18.46,0,0,0,13.21376393,0,0,0,9.473725908,9.314444444,0,0,0,1.381944444,3.303611111,2,0,0,0,2,3,0,0,0.2792,0,0,0,2,2,0,0
2970,153,"2,5-Furandicarboxylic acid",C(O)(=O)C=1OC(C(O)=O)=CC1,Water,O,,0,0,Diethylene glycol dimethyl ether,O(CCOC)CCOC,doi.org/10.1021/acs.jced.2c00730,15.21462113,0.010517,-1.978108126,0,353.15,5.064444444,0.652638889,0.652638889,0.488753519,10,134.175,-0.382297726,0.070097235,0.777777778,1.222222222,16.53536634,0.038520036,41.56763142,0.863590092,-0.12,7.88,14.21058886,0,0,0,0,0,0,0,0,0,14.21959508,14.21058886,0,0,0,40.64712294,0,0,14.21058886,27.69,0,0,0,26.42752786,0,0,0,0,14.576875,0,0,0,2.618202948,3.304922052,3,0,0,0,3,6,0,0,0.2958,0,0,0,3,2,0,0
3298,218,5-Azacytidine,O[C@H]1[C@@H](O[C@H](CO)[C@H]1O)N2C(=O)N=C(N)N=C2,Water,O,0,0,0,2-Propanol,C(C)(C)O,doi.org/10.1016/j.jct.2022.106945,19.52642621,0.000007363,-5.1329452,0,278.15,8.055555556,0.166666667,-0.166666667,0.428404794,9,60.096,-0.393706902,0.048347612,1.5,1.5,16.26364309,0.215624827,8,0,-0.04,1128.96,5.106527395,0,0,0,0,0,0,0,0,13.8474744,6.103966388,5.106527395,0,0,19.95144079,0,0,0,0,20.23,0,0,6.103966388,0,0,0,0,0,0,8.055555556,0,-0.166666667,3.444444444,0,1,0,0,0,1,0,0,0,0.3871,0,0,0,0,0,0,0
4370,263,Taurine,C(S(=O)(=O)O)CN,Water,O,1,1,1,Propylene glycol,C(CO)(C)O,doi.org/10.1016/j.molliq.2022.120522,17.81791667,0.014263,-1.845789118,1,298.15,8.111111111,0.138888889,-0.560185185,0.435834997,15,76.095,-0.393700042,0.074238644,1.8,2,16.31513815,0.109859609,18.85475297,0.264223844,-0.08,3.92,10.21305479,0,0,0,0,0,0,0,0,6.9237372,0,10.21305479,0,0,13.02770359,6.606881965,0,0,0,40.46,6.103966388,0,6.606881965,0,0,6.9237372,0,0,0,16.00462963,0,-0.560185185,1.388888889,0,2,0,0,1,2,1,0,0,-0.6405,0,0,0,0,0,0,0
4400,263,Taurine,C(S(=O)(=O)O)CN,Water,O,1,1,1,Acetonitrile,C(C)#N,doi.org/10.1016/j.molliq.2022.120522,17.02625,0.014263,-1.845789118,1,298.15,7.319444444,1.430555556,1.430555556,0.38698058,2.666666667,41.053,-0.198658426,0.058714824,2,2,14.19977254,1.489653195,24.26466251,0,-0.51,1.49,0,0,0,0,0,0,5.261891555,0,0,0,6.9237372,0,0,0,6.9237372,0,0,0,0,23.79,0,0,0,0,0,6.9237372,0,0,0,7.319444444,0,0,1.430555556,0,1,0,0,0,1,0,0,0,0.52988,1,0,0,0,0,0,0
