solvent_name,Drug,SMILES_Solvent,Solubility(mole_fraction),Solubility(mol/L),canonical_drug,canonical_solvent,value,Temperature_K,MaxEStateIndex_solvent,MinAbsEStateIndex_solvent,MinEStateIndex_solvent,qed_solvent,HeavyAtomMolWt_solvent,MaxPartialCharge_solvent,MinPartialCharge_solvent,MinAbsPartialCharge_solvent,FpDensityMorgan1_solvent,FpDensityMorgan3_solvent,BCUT2D_MWHI_solvent,BCUT2D_MWLOW_solvent,BCUT2D_LOGPLOW_solvent,BCUT2D_MRHI_solvent,BCUT2D_MRLOW_solvent,AvgIpc_solvent,BertzCT_solvent,Chi4n_solvent,HallKierAlpha_solvent,Kappa2_solvent,Kappa3_solvent,PEOE_VSA1_solvent,PEOE_VSA10_solvent,PEOE_VSA11_solvent,PEOE_VSA13_solvent,PEOE_VSA2_solvent,PEOE_VSA3_solvent,PEOE_VSA5_solvent,PEOE_VSA6_solvent,PEOE_VSA7_solvent,PEOE_VSA8_solvent,PEOE_VSA9_solvent,SMR_VSA1_solvent,SMR_VSA10_solvent,SMR_VSA3_solvent,SMR_VSA4_solvent,SlogP_VSA1_solvent,SlogP_VSA10_solvent,SlogP_VSA12_solvent,SlogP_VSA2_solvent,SlogP_VSA3_solvent,SlogP_VSA4_solvent,SlogP_VSA5_solvent,SlogP_VSA6_solvent,SlogP_VSA8_solvent,TPSA_solvent,EState_VSA1_solvent,EState_VSA10_solvent,EState_VSA2_solvent,EState_VSA3_solvent,EState_VSA4_solvent,EState_VSA5_solvent,EState_VSA6_solvent,EState_VSA7_solvent,EState_VSA8_solvent,EState_VSA9_solvent,VSA_EState1_solvent,VSA_EState3_solvent,VSA_EState4_solvent,VSA_EState5_solvent,VSA_EState6_solvent,VSA_EState7_solvent,VSA_EState8_solvent,VSA_EState9_solvent,FractionCSP3_solvent,NHOHCount_solvent,NOCount_solvent,NumAliphaticCarbocycles_solvent,NumAliphaticRings_solvent,NumAromaticHeterocycles_solvent,NumAtomStereoCenters_solvent,NumBridgeheadAtoms_solvent,NumHAcceptors_solvent,NumHeteroatoms_solvent,NumRotatableBonds_solvent,MolLogP_solvent,fr_Al_OH_noTert_solvent,fr_ArN_solvent,fr_COO_solvent,fr_NH1_solvent,fr_Ndealkylation2_solvent,fr_allylic_oxid_solvent,fr_aryl_methyl_solvent,fr_furan_solvent,fr_lactone_solvent,fr_methoxy_solvent,fr_morpholine_solvent,fr_para_hydroxylation_solvent,fr_phenol_noOrthoHbond_solvent,fr_priamide_solvent,fr_unbrch_alkane_solvent,MACCS_15_solvent,MACCS_19_solvent,MACCS_20_solvent,MACCS_21_solvent,MACCS_22_solvent,MACCS_28_solvent,MACCS_29_solvent,MACCS_34_solvent,MACCS_36_solvent,MACCS_40_solvent,MACCS_41_solvent,MACCS_42_solvent,MACCS_46_solvent,MACCS_48_solvent,MACCS_50_solvent,MACCS_53_solvent,MACCS_54_solvent,MACCS_57_solvent,MACCS_58_solvent,MACCS_65_solvent,MACCS_66_solvent,MACCS_72_solvent,MACCS_74_solvent,MACCS_82_solvent,MACCS_84_solvent,MACCS_86_solvent,MACCS_87_solvent,MACCS_89_solvent,MACCS_90_solvent,MACCS_91_solvent,MACCS_93_solvent,MACCS_95_solvent,MACCS_96_solvent,MACCS_98_solvent,MACCS_99_solvent,MACCS_101_solvent,MACCS_104_solvent,MACCS_105_solvent,MACCS_106_solvent,MACCS_107_solvent,MACCS_108_solvent,MACCS_112_solvent,MACCS_113_solvent,MACCS_114_solvent,MACCS_115_solvent,MACCS_116_solvent,MACCS_119_solvent,MACCS_123_solvent,MACCS_124_solvent,MACCS_126_solvent,MACCS_128_solvent,MACCS_129_solvent,MACCS_130_solvent,MACCS_132_solvent,MACCS_133_solvent,MACCS_135_solvent,MACCS_136_solvent,MACCS_137_solvent,MACCS_138_solvent,MACCS_140_solvent,MACCS_141_solvent,MACCS_142_solvent,MACCS_143_solvent,MACCS_144_solvent,MACCS_145_solvent,MACCS_146_solvent,MACCS_147_solvent,MACCS_148_solvent,MACCS_149_solvent,MACCS_151_solvent,MACCS_152_solvent,MACCS_153_solvent,MACCS_155_solvent,MACCS_156_solvent,MACCS_157_solvent,MACCS_159_solvent,MACCS_160_solvent,MACCS_161_solvent,MACCS_163_solvent,MACCS_164_solvent,MACCS_165_solvent
ethanol,CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,0.0006,0.010082794,CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-3.22184875,298.15,7.569444444,0.25,0.25,0.406807966,40.021,0.040220582,-0.396663715,0.040220582,2,2,16.24899133,10.90816804,-1.568363547,3.835802336,0.318405613,0.918295834,2.754887502,0,-0.04,1.96,1.96,5.106527395,0,0,0,0,0,0,0,6.9237372,6.606881965,0,5.106527395,0,0,0,0,0,0,11.71340936,0,0,6.9237372,0,0,20.23,0,0,6.606881965,0,0,0,6.9237372,0,0,5.106527395,0,7.569444444,0,0,0,0,1.930555556,0,1,1,1,0,0,0,0,0,1,1,0,-0.0014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
methanol,CC(=O)NCC(=O)O,CO,0.003789,0.095579296,CC(=O)NCC(=O)O,CO,-2.421475395,298.15,7,1,1,0.385284404,28.01,0.031940684,-0.399630244,0.031940684,1.5,1.5,16.23570303,11.77429697,-1.247319782,3.177807485,0.398992515,1,2,0,-0.04,0.96,-27.04,5.106527395,0,0,0,0,0,0,0,0,7.109797541,0,5.106527395,0,0,0,0,0,0,12.21632494,0,0,0,0,0,20.23,0,0,0,0,7.109797541,0,0,0,0,5.106527395,0,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,-0.3915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
isopropanol,c1ccc2cc3ccccc3cc2c1,CC(C)O,0.000411,0.005343993,c1ccc2cc3ccccc3cc2c1,CC(C)O,-3.386158178,298.15,8.055555556,0.166666667,-0.166666667,0.428404794,52.032,0.048347612,-0.393706902,0.048347612,1.5,1.5,16.26364309,10.50360187,-1.848436775,4.204004314,0.215624827,0.811278124,8,0,-0.04,1.297837838,1128.96,5.106527395,0,0,0,0,0,0,0,13.8474744,6.103966388,0,5.106527395,0,0,0,0,0,0,11.21049378,0,0,13.8474744,0,0,20.23,0,0,6.103966388,0,0,0,13.8474744,0,0,5.106527395,0,8.055555556,0,0,0,-0.166666667,3.444444444,0,1,1,1,0,0,0,0,0,1,1,0,0.3871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
water,C(=N/Nc1ccccc1)\c1ccc[nH]1,O,5.86E-07,3.24E-05,C(=N/Nc1ccccc1)\c1ccc[nH]1,O,-6.232102384,298.15,0,0,0,0.327747677,15.999,-0.411509522,-0.411509522,0.411509522,1,1,15.999,15.999,-0.2893,0.8238,0.8238,0,0,0,-0.04,-27.04,-104.04,5.476191836,0,0,0,0,0,0,0,0,0,0,5.476191836,0,0,0,0,0,0,5.476191836,0,0,0,0,0,31.5,0,0,5.476191836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,-0.8247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ethyl acetate,CCCCCCCCCCCCCCCCCC(=O)OCCO,CCOC(C)=O,0.0118,0.121325682,CCCCCCCCCCCCCCCCCC(=O)OCCO,CCOC(C)=O,-1.928117993,298.15,9.821527778,0.210648148,-0.210648148,0.437850878,80.042,0.302112778,-0.46617189,0.302112778,1.833333333,2.333333333,16.53089092,10.76990205,-1.948517209,5.652796097,-0.139887661,1.348587896,49.509775,0.203263132,-0.53,2.693713647,3.47,4.736862954,0,0,0,4.794537184,0,0,0,6.9237372,6.9237372,6.606881965,9.531400138,5.969305288,0,0,0,0,0,12.57618725,9.531400138,0,13.8474744,0,0,26.3,0,4.794537184,5.969305288,6.606881965,0,6.9237372,6.9237372,0,4.736862954,0,4.402777778,0,0,-0.210648148,0,0,3.653009259,0,0.75,0,2,0,0,0,0,0,2,2,1,0.5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0
n-propanol,c1ccc2cc3ccccc3cc2c1,CCCO,0.000591,0.007868017,c1ccc2cc3ccccc3cc2c1,CCCO,-3.228412519,298.15,7.875,0.319444444,0.319444444,0.463783983,52.032,0.04278928,-0.396387351,0.04278928,1.75,2,16.2498503,10.54757317,-1.690852802,4.096361135,0.294768568,1.370950594,5.245112498,0,-0.04,2.96,1.96,5.106527395,0,0,0,0,0,0,6.9237372,6.420821623,6.606881965,0,5.106527395,0,0,0,0,0,0,11.71340936,0,0,13.34455882,0,0,20.23,0,0,0,6.606881965,6.420821623,0,0,6.9237372,0,5.106527395,0,7.875,0,0,0,0.875,2.25,0,1,1,1,0,0,0,0,0,1,1,1,0.3887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
acetone,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,CC(C)=O,0.0044879,0.061327051,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,CC(C)=O,-2.347956829,298.15,9.444444444,0.166666667,0.166666667,0.398236962,52.032,0.126267944,-0.300343903,0.126267944,1.5,1.5,16.136528,10.55082225,-1.691320522,5.717069246,-0.114492595,0.811278124,26.26466251,0,-0.33,1.044531835,6.883957759,4.794537184,5.783244946,0,0,0,0,0,0,13.8474744,0,0,4.794537184,5.783244946,0,0,0,0,0,5.783244946,4.794537184,0,13.8474744,0,0,17.07,0,4.794537184,5.783244946,0,0,13.8474744,0,0,0,0,0,0,0,0.166666667,0,0,3.055555556,0,0.666666667,0,1,0,0,0,0,0,1,1,0,0.5953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
n-butanol,c1ccc2cc3ccccc3cc2c1,CCCCO,0.000801,0.008714991,c1ccc2cc3ccccc3cc2c1,CCCCO,-3.096367484,298.15,8.06625,0.34375,0.34375,0.512821799,64.043,0.043042283,-0.396376752,0.043042283,1.6,2.2,16.24991399,10.36642343,-1.748772992,4.227732581,0.286783838,1.405639062,11.11941548,0.158113883,-0.04,3.96,3.96,5.106527395,0,0,0,0,0,0,13.34455882,6.420821623,6.606881965,0,5.106527395,0,0,0,0,0,0,11.71340936,0,0,19.76538045,0,0,20.23,0,0,0,6.606881965,12.84164325,0,0,0,6.9237372,5.106527395,0,8.06625,0,0,0,2.038194444,2.395555556,0,1,1,1,0,0,0,0,0,1,1,2,0.7788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
acetonitrile,O=[N+]([O-])c1cccc2ccccc12,CC#N,0.3275,9.214670123,O=[N+]([O-])c1cccc2ccccc12,CC#N,-0.484788696,298.15,7.319444444,1.430555556,1.430555556,0.38698058,38.029,0.058714824,-0.198658426,0.058714824,2,2,14.19977254,10.95508812,-1.100101722,4.507020971,1.489653195,0.918295834,24.26466251,0,-0.51,1.49,1.49,0,0,0,0,0,0,0,0,0,6.9237372,6.069221313,0,0,0,0,0,0,0,0,0,11.33111287,6.9237372,0,0,23.79,0,0,0,0,0,6.9237372,6.069221313,0,0,5.261891555,0,7.319444444,0,0,1.75,0,1.430555556,0,0.5,0,1,0,0,0,0,0,1,1,0,0.52988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
DMF,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,CN(C)C=O,0.001194,0.015754362,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,CN(C)C=O,-2.922995673,298.15,9.430555556,0.75,0.75,0.39026824,66.039,0.208684718,-0.351386795,0.208684718,1.6,1.8,16.14126441,10.98473093,-2.056200147,5.448254175,-0.11544113,1.378783493,33.87430298,0,-0.53,1.758184438,3.47,4.899909731,0,0,0,4.794537184,0,0,0,0,14.09534397,0,4.794537184,6.410095306,4.899909731,0,0,0,0,25.405349,4.794537184,0,0,0,0,20.31,0,4.794537184,0,0,6.410095306,4.899909731,14.09534397,0,0,0,0,0,0,0,0,0.75,0,3.375,0.666666667,0,2,0,0,0,0,0,1,2,1,-0.2956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
